year,month,rank_ME,rank_EPRD,nstocks,ret_vw
1967,12,2,2,6,1.0771
1967,12,2,3,17,6.0180
1967,12,2,4,17,4.0651
1967,12,2,5,22,6.7758
1967,12,3,1,61,2.6709
1967,12,3,2,62,2.0068
1967,12,3,3,46,3.0094
1967,12,3,4,47,2.1314
1967,12,3,5,40,3.7332
1968,1,1,1,0,
1968,1,1,2,7,-2.6898
1968,1,1,3,11,3.2315
1968,1,1,4,10,5.7673
1968,1,1,5,12,4.8196
1968,1,2,1,14,1.3030
1968,1,2,2,6,1.4354
1968,1,2,3,17,1.5157
1968,1,2,4,17,0.5483
1968,1,2,5,22,-2.7208
1968,1,3,1,61,-4.9402
1968,1,3,2,62,-3.9107
1968,1,3,3,46,-5.8755
1968,1,3,4,47,-2.0828
1968,1,3,5,40,-4.0463
1968,2,1,1,0,
1968,2,1,2,7,-7.0578
1968,2,1,3,11,-5.2216
1968,2,1,4,10,-4.1808
1968,2,1,5,12,-4.5191
1968,2,2,1,14,-1.9456
1968,2,2,2,6,-8.0311
1968,2,2,3,17,2.6446
1968,2,2,4,17,-3.5283
1968,2,2,5,22,-5.2657
1968,2,3,1,61,-2.1140
1968,2,3,2,62,-2.8175
1968,2,3,3,46,-3.5757
1968,2,3,4,47,-2.2102
1968,2,3,5,40,-4.1546
1968,3,1,1,0,
1968,3,1,2,7,0.1535
1968,3,1,3,11,2.2992
1968,3,1,4,10,-1.6647
1968,3,1,5,12,-1.1720
1968,3,2,1,14,-3.7316
1968,3,2,2,6,1.3893
1968,3,2,3,17,-0.8304
1968,3,2,4,17,-0.4167
1968,3,2,5,22,-1.3364
1968,3,3,1,61,3.2364
1968,3,3,2,62,0.8227
1968,3,3,3,46,-0.9033
1968,3,3,4,47,-0.4816
1968,3,3,5,40,-1.2991
1968,4,1,1,0,
1968,4,1,2,7,10.8086
1968,4,1,3,11,12.6530
1968,4,1,4,10,12.0793
1968,4,1,5,12,18.3995
1968,4,2,1,14,12.1718
1968,4,2,2,6,10.0944
1968,4,2,3,17,12.5027
1968,4,2,4,17,14.6760
1968,4,2,5,22,10.0592
1968,4,3,1,61,9.6484
1968,4,3,2,62,9.4036
1968,4,3,3,46,8.3290
1968,4,3,4,47,5.0198
1968,4,3,5,40,9.4158
1968,5,1,1,0,
1968,5,1,2,7,5.9407
1968,5,1,3,11,7.1994
1968,5,1,4,10,6.0726
1968,5,1,5,12,4.9795
1968,5,2,1,14,5.4056
1968,5,2,2,6,7.3337
1968,5,2,3,17,5.2443
1968,5,2,4,17,5.4926
1968,5,2,5,22,7.6295
1968,5,3,1,61,2.1023
1968,5,3,2,62,0.4638
1968,5,3,3,46,-0.8546
1968,5,3,4,47,0.3976
1968,5,3,5,40,0.8827
1968,6,1,1,0,
1968,6,1,2,7,7.2116
1968,6,1,3,11,0.8672
1968,6,1,4,10,4.3576
1968,6,1,5,12,1.7186
1968,6,2,1,14,3.6081
1968,6,2,2,6,5.1630
1968,6,2,3,17,3.1399
1968,6,2,4,17,1.5605
1968,6,2,5,22,-1.6634
1968,6,3,1,61,-0.0062
1968,6,3,2,62,-0.1950
1968,6,3,3,46,2.0546
1968,6,3,4,47,2.2485
1968,6,3,5,40,-0.0427
1968,7,1,1,1,-10.2740
1968,7,1,2,8,-0.1441
1968,7,1,3,8,-5.7288
1968,7,1,4,14,8.6572
1968,7,1,5,17,-4.2388
1968,7,2,1,10,-4.8701
1968,7,2,2,6,-6.0370
1968,7,2,3,19,-1.2265
1968,7,2,4,19,-1.7102
1968,7,2,5,19,-4.1522
1968,7,3,1,64,-1.2680
1968,7,3,2,62,-1.7652
1968,7,3,3,48,-0.9334
1968,7,3,4,42,-2.0425
1968,7,3,5,39,-2.5320
1968,8,1,1,1,0.8397
1968,8,1,2,8,-2.4297
1968,8,1,3,8,4.0296
1968,8,1,4,14,-1.0113
1968,8,1,5,17,1.8992
1968,8,2,1,10,3.4516
1968,8,2,2,6,2.0188
1968,8,2,3,19,4.1692
1968,8,2,4,19,9.1020
1968,8,2,5,19,4.0264
1968,8,3,1,64,1.2366
1968,8,3,2,62,1.8746
1968,8,3,3,48,3.0229
1968,8,3,4,42,1.7859
1968,8,3,5,39,0.9492
1968,9,1,1,1,2.6820
1968,9,1,2,8,5.4194
1968,9,1,3,8,3.5414
1968,9,1,4,14,12.9508
1968,9,1,5,17,10.9765
1968,9,2,1,10,8.3103
1968,9,2,2,6,4.1059
1968,9,2,3,19,7.9315
1968,9,2,4,19,5.8095
1968,9,2,5,19,5.4876
1968,9,3,1,64,1.3585
1968,9,3,2,62,5.7413
1968,9,3,3,48,3.8259
1968,9,3,4,42,5.3682
1968,9,3,5,39,7.2220
1968,10,1,1,1,11.5672
1968,10,1,2,8,2.8588
1968,10,1,3,8,0.4326
1968,10,1,4,13,3.1988
1968,10,1,5,17,1.7380
1968,10,2,1,10,2.7054
1968,10,2,2,6,3.7261
1968,10,2,3,19,3.8211
1968,10,2,4,19,-0.6283
1968,10,2,5,19,0.7392
1968,10,3,1,64,-1.0145
1968,10,3,2,62,1.0734
1968,10,3,3,48,1.2284
1968,10,3,4,42,1.3555
1968,10,3,5,39,3.5840
1968,11,1,1,1,4.3478
1968,11,1,2,8,12.7704
1968,11,1,3,8,8.0913
1968,11,1,4,13,-0.5831
1968,11,1,5,16,9.6586
1968,11,2,1,10,7.5420
1968,11,2,2,6,5.3682
1968,11,2,3,19,9.2562
1968,11,2,4,19,8.6713
1968,11,2,5,19,7.6181
1968,11,3,1,64,6.6829
1968,11,3,2,62,3.8191
1968,11,3,3,48,5.0642
1968,11,3,4,42,6.4435
1968,11,3,5,39,0.4261
1968,12,1,1,1,-5.7051
1968,12,1,2,8,-6.3821
1968,12,1,3,8,-2.8115
1968,12,1,4,14,-3.8461
1968,12,1,5,16,-0.2757
1968,12,2,1,10,0.6186
1968,12,2,2,6,-1.9547
1968,12,2,3,19,0.8574
1968,12,2,4,19,-0.4214
1968,12,2,5,19,-4.7824
1968,12,3,1,64,-4.4156
1968,12,3,2,62,-5.1849
1968,12,3,3,48,-0.4790
1968,12,3,4,42,-5.6921
1968,12,3,5,39,-2.6295
1969,1,1,1,1,12.0275
1969,1,1,2,8,-1.5785
1969,1,1,3,8,0.5261
1969,1,1,4,14,5.1918
1969,1,1,5,16,-3.8903
1969,1,2,1,10,-0.2253
1969,1,2,2,6,-0.4710
1969,1,2,3,19,-3.3444
1969,1,2,4,19,-2.8754
1969,1,2,5,19,-0.4857
1969,1,3,1,64,-2.5475
1969,1,3,2,62,-1.3585
1969,1,3,3,48,-1.0705
1969,1,3,4,42,1.2884
1969,1,3,5,39,0.3276
1969,2,1,1,1,-2.4540
1969,2,1,2,8,-13.3658
1969,2,1,3,8,-6.6688
1969,2,1,4,14,-10.9103
1969,2,1,5,16,-10.6346
1969,2,2,1,10,-6.2250
1969,2,2,2,6,-2.6236
1969,2,2,3,19,-7.9438
1969,2,2,4,19,-7.0120
1969,2,2,5,19,-10.4341
1969,2,3,1,64,-2.9979
1969,2,3,2,62,-3.8214
1969,2,3,3,48,-5.0734
1969,2,3,4,42,-5.4654
1969,2,3,5,39,-3.7480
1969,3,1,1,1,1.8868
1969,3,1,2,8,-1.3923
1969,3,1,3,8,5.2526
1969,3,1,4,14,1.8586
1969,3,1,5,16,1.0017
1969,3,2,1,10,2.1069
1969,3,2,2,6,0.8448
1969,3,2,3,19,1.8234
