year,month,rank_ME,rank_r10a,nstocks,ret_vw
1967,1,1,1,13,20.2138
1967,1,1,2,13,14.6204
1967,1,1,3,28,15.7686
1967,1,1,4,37,18.3933
1967,1,1,5,48,21.0051
1967,1,2,1,21,16.1235
1967,1,2,2,43,16.4234
1967,1,2,3,27,13.3286
1967,1,2,4,37,14.3010
1967,1,2,5,57,15.3570
1967,1,3,1,119,8.2239
1967,1,3,2,97,5.3615
1967,1,3,3,98,5.4479
1967,1,3,4,79,10.0453
1967,1,3,5,49,12.8149
1967,2,1,1,42,0.9699
1967,2,1,2,27,3.5013
1967,2,1,3,13,5.9119
1967,2,1,4,32,4.1322
1967,2,1,5,28,3.5504
1967,2,2,1,39,-0.0325
1967,2,2,2,41,0.9428
1967,2,2,3,36,0.2601
1967,2,2,4,33,2.3195
1967,2,2,5,38,3.2219
1967,2,3,1,72,-1.3390
1967,2,3,2,86,-0.5391
1967,2,3,3,103,1.4486
1967,2,3,4,88,2.1884
1967,2,3,5,88,1.3570
1967,3,1,1,29,4.8309
1967,3,1,2,28,9.0010
1967,3,1,3,26,5.9174
1967,3,1,4,24,7.9624
1967,3,1,5,35,6.9536
1967,3,2,1,45,5.6993
1967,3,2,2,34,3.8438
1967,3,2,3,32,5.3998
1967,3,2,4,39,4.9684
1967,3,2,5,41,6.7372
1967,3,3,1,80,5.4573
1967,3,3,2,91,4.8504
1967,3,3,3,94,3.4330
1967,3,3,4,92,3.0547
1967,3,3,5,78,4.9882
1967,4,1,1,39,1.8518
1967,4,1,2,31,4.2399
1967,4,1,3,24,9.9709
1967,4,1,4,19,3.7722
1967,4,1,5,28,4.3052
1967,4,2,1,54,2.3740
1967,4,2,2,41,3.9777
1967,4,2,3,41,0.7948
1967,4,2,4,27,2.0392
1967,4,2,5,28,5.7197
1967,4,3,1,61,5.0150
1967,4,3,2,80,5.9307
1967,4,3,3,89,2.6710
1967,4,3,4,107,2.6015
1967,4,3,5,98,5.5048
1967,5,1,1,42,-0.3844
1967,5,1,2,28,-0.2774
1967,5,1,3,29,2.7601
1967,5,1,4,23,3.1175
1967,5,1,5,22,-0.3941
1967,5,2,1,46,-2.6334
1967,5,2,2,30,0.4640
1967,5,2,3,32,-0.7254
1967,5,2,4,41,-2.3903
1967,5,2,5,39,-1.5309
1967,5,3,1,67,-3.1371
1967,5,3,2,97,-3.7457
1967,5,3,3,92,-5.4285
1967,5,3,4,89,-5.0301
1967,5,3,5,91,-5.0806
1967,6,1,1,38,7.5348
1967,6,1,2,29,6.0907
1967,6,1,3,21,8.7000
1967,6,1,4,28,8.0142
1967,6,1,5,26,9.1311
1967,6,2,1,48,6.9179
1967,6,2,2,42,4.1709
1967,6,2,3,29,5.4331
1967,6,2,4,37,6.3627
1967,6,2,5,34,7.0218
1967,6,3,1,66,3.4303
1967,6,3,2,82,2.2903
1967,6,3,3,104,0.9893
1967,6,3,4,88,1.1230
1967,6,3,5,90,2.7634
1967,7,1,1,46,9.5263
1967,7,1,2,23,8.5128
1967,7,1,3,17,11.8018
1967,7,1,4,17,11.9473
1967,7,1,5,34,9.1344
1967,7,2,1,48,10.0686
1967,7,2,2,36,8.8163
1967,7,2,3,30,6.2127
1967,7,2,4,37,6.6901
1967,7,2,5,48,8.1434
1967,7,3,1,60,5.3353
1967,7,3,2,95,6.4431
1967,7,3,3,104,0.9013
1967,7,3,4,96,3.9409
1967,7,3,5,72,7.8295
1967,8,1,1,38,0.9693
1967,8,1,2,24,0.3527
1967,8,1,3,21,-0.0913
1967,8,1,4,27,2.3731
1967,8,1,5,27,-0.8926
1967,8,2,1,49,-0.2855
1967,8,2,2,36,0.4315
1967,8,2,3,28,2.1801
1967,8,2,4,37,0.4048
1967,8,2,5,46,-0.3047
1967,8,3,1,65,-0.9070
1967,8,3,2,95,-0.5547
1967,8,3,3,103,-0.6246
1967,8,3,4,86,-0.8665
1967,8,3,5,78,-1.0053
1967,9,1,1,24,3.3142
1967,9,1,2,25,5.0605
1967,9,1,3,26,5.6806
1967,9,1,4,27,3.7981
1967,9,1,5,33,5.2205
1967,9,2,1,48,5.7790
1967,9,2,2,30,1.1998
1967,9,2,3,43,1.4809
1967,9,2,4,36,5.2711
1967,9,2,5,42,3.6288
1967,9,3,1,81,1.9766
1967,9,3,2,97,3.7168
1967,9,3,3,82,3.4151
1967,9,3,4,90,2.6410
1967,9,3,5,78,3.8324
1967,10,1,1,51,-3.5207
1967,10,1,2,30,-3.3330
1967,10,1,3,19,-3.6715
1967,10,1,4,18,0.1937
1967,10,1,5,19,-3.8942
1967,10,2,1,55,-4.6539
1967,10,2,2,47,-3.4299
1967,10,2,3,34,-2.2669
1967,10,2,4,31,-3.0228
1967,10,2,5,25,-3.3997
1967,10,3,1,48,-5.7878
1967,10,3,2,74,-6.2606
1967,10,3,3,98,-3.4133
1967,10,3,4,102,-4.4556
1967,10,3,5,105,0.4542
1967,11,1,1,51,-1.7754
1967,11,1,2,29,2.7187
1967,11,1,3,14,-3.1879
1967,11,1,4,20,3.0647
1967,11,1,5,20,1.7757
1967,11,2,1,46,1.5056
1967,11,2,2,42,-1.1209
1967,11,2,3,33,0.4229
1967,11,2,4,30,0.7744
1967,11,2,5,41,2.3133
1967,11,3,1,57,-1.1125
1967,11,3,2,80,-0.4065
1967,11,3,3,101,0.8761
1967,11,3,4,100,2.4560
1967,11,3,5,90,-0.4215
1967,12,1,1,37,10.8833
1967,12,1,2,33,6.3640
1967,12,1,3,30,5.8722
1967,12,1,4,16,18.0545
1967,12,1,5,21,9.8401
1967,12,2,1,58,7.2159
1967,12,2,2,35,7.7750
1967,12,2,3,31,4.1922
1967,12,2,4,31,6.1833
1967,12,2,5,39,8.3341
1967,12,3,1,60,1.1817
1967,12,3,2,81,3.8098
1967,12,3,3,89,3.0876
1967,12,3,4,103,2.8677
1967,12,3,5,91,1.8792
1968,1,1,1,17,-0.6791
1968,1,1,2,11,-1.2664
1968,1,1,3,17,5.3144
1968,1,1,4,35,4.9994
1968,1,1,5,60,4.9377
1968,1,2,1,20,-0.1002
1968,1,2,2,39,-0.1631
1968,1,2,3,38,2.8128
1968,1,2,4,47,3.1721
1968,1,2,5,48,0.6599
1968,1,3,1,114,-5.9280
1968,1,3,2,99,-0.0396
1968,1,3,3,95,-3.2264
1968,1,3,4,71,-1.2062
1968,1,3,5,44,-6.2054
1968,2,1,1,40,-5.3465
1968,2,1,2,25,-4.3937
1968,2,1,3,26,-4.3859
1968,2,1,4,19,-2.8156
1968,2,1,5,25,-3.0276
1968,2,2,1,37,-3.3853
1968,2,2,2,37,-4.8904
1968,2,2,3,40,-2.0219
1968,2,2,4,34,-2.6350
1968,2,2,5,40,-5.2284
1968,2,3,1,72,-2.2537
1968,2,3,2,87,-2.4966
1968,2,3,3,84,-3.4391
1968,2,3,4,95,-2.5820
1968,2,3,5,84,-3.9901
1968,3,1,1,27,-1.4585
1968,3,1,2,27,1.2934
1968,3,1,3,24,-0.5832
1968,3,1,4,24,-2.9554
1968,3,1,5,31,-1.3655
1968,3,2,1,40,-2.0428
1968,3,2,2,39,-2.5059
1968,3,2,3,30,-0.2583
1968,3,2,4,39,-1.1373
1968,3,2,5,37,0.2194
1968,3,3,1,80,-0.3430
1968,3,3,2,80,-0.6949
1968,3,3,3,95,0.3250
1968,3,3,4,86,1.7356
1968,3,3,5,80,0.8374
1968,4,1,1,37,13.3651
1968,4,1,2,27,11.5829
1968,4,1,3,27,12.8259
1968,4,1,4,20,11.5025
1968,4,1,5,20,10.7771
1968,4,2,1,49,15.1683
1968,4,2,2,41,10.9626
1968,4,2,3,31,13.0854
1968,4,2,4,35,9.4866
1968,4,2,5,35,10.2706
1968,4,3,1,62,11.6694
1968,4,3,2,81,7.6423
1968,4,3,3,88,9.6872
1968,4,3,4,96,5.6197
1968,4,3,5,93,9.3973
1968,5,1,1,35,7.9084
1968,5,1,2,27,14.0687
1968,5,1,3,26,9.3478
1968,5,1,4,21,9.8674
1968,5,1,5,23,11.6578
1968,5,2,1,41,5.5574
1968,5,2,2,34,4.0401
1968,5,2,3,34,7.8835
1968,5,2,4,40,7.9978
1968,5,2,5,36,5.7309
1968,5,3,1,74,1.9337
1968,5,3,2,86,1.0362
1968,5,3,3,87,0.5079
1968,5,3,4,84,-0.0176
1968,5,3,5,86,3.1104
1968,6,1,1,26,3.7277
1968,6,1,2,31,1.0833
1968,6,1,3,22,3.5366
1968,6,1,4,25,1.5720
1968,6,1,5,25,2.1683
1968,6,2,1,47,1.6548
1968,6,2,2,35,0.6460
1968,6,2,3,36,1.8119
1968,6,2,4,34,2.7373
1968,6,2,5,30,1.6100
1968,6,3,1,72,-0.4009
1968,6,3,2,80,1.3192
1968,6,3,3,89,1.3616
1968,6,3,4,87,1.1311
1968,6,3,5,88,1.4219
1968,7,1,1,37,-1.1949
1968,7,1,2,24,-0.9490
1968,7,1,3,15,-2.1807
1968,7,1,4,20,-0.8644
1968,7,1,5,33,0.3273
1968,7,2,1,41,-2.0045
1968,7,2,2,31,-1.5725
1968,7,2,3,33,-2.2756
1968,7,2,4,39,-1.7159
1968,7,2,5,36,-6.1721
1968,7,3,1,68,-3.9642
1968,7,3,2,89,-1.4855
1968,7,3,3,96,-0.7561
1968,7,3,4,85,-1.5349
1968,7,3,5,78,-2.4459
1968,8,1,1,45,2.2973
1968,8,1,2,20,-0.2312
1968,8,1,3,23,2.1262
1968,8,1,4,17,3.8678
1968,8,1,5,21,3.1091
1968,8,2,1,35,5.2404
1968,8,2,2,37,2.8951
1968,8,2,3,35,1.7386
1968,8,2,4,33,2.1077
1968,8,2,5,38,5.0389
1968,8,3,1,66,2.0969
1968,8,3,2,88,2.0033
1968,8,3,3,85,1.2676
1968,8,3,4,93,0.6245
1968,8,3,5,84,1.9462
1968,9,1,1,29,8.1831
1968,9,1,2,21,7.1707
1968,9,1,3,26,5.3912
1968,9,1,4,21,6.5891
1968,9,1,5,32,6.7525
1968,9,2,1,41,6.9471
1968,9,2,2,29,5.6259
1968,9,2,3,33,7.4371
1968,9,2,4,29,5.2769
1968,9,2,5,39,5.3100
1968,9,3,1,75,4.1076
1968,9,3,2,93,5.0615
1968,9,3,3,85,6.3896
1968,9,3,4,94,1.9262
1968,9,3,5,74,4.3950
1968,10,1,1,46,1.2411
1968,10,1,2,34,0.9533
1968,10,1,3,23,4.7304
1968,10,1,4,12,4.1555
1968,10,1,5,14,0.7556
1968,10,2,1,52,1.3506
1968,10,2,2,37,2.6426
1968,10,2,3,23,1.4521
1968,10,2,4,31,0.1254
1968,10,2,5,24,2.8661
1968,10,3,1,47,0.2321
1968,10,3,2,73,0.8127
1968,10,3,3,97,2.5616
1968,10,3,4,100,-0.6454
1968,10,3,5,103,0.8427
1968,11,1,1,41,10.8956
1968,11,1,2,22,8.1308
1968,11,1,3,23,6.5254
1968,11,1,4,14,7.6529
1968,11,1,5,28,4.7385
1968,11,2,1,44,6.4616
1968,11,2,2,37,7.1663
1968,11,2,3,24,7.7039
1968,11,2,4,25,7.0769
1968,11,2,5,34,7.5116
1968,11,3,1,61,3.4954
1968,11,3,2,82,5.7640
1968,11,3,3,93,4.9480
1968,11,3,4,104,6.1708
1968,11,3,5,79,5.9630
1968,12,1,1,45,0.7688
1968,12,1,2,26,-0.4152
1968,12,1,3,18,-1.4596
1968,12,1,4,21,-0.0982
1968,12,1,5,18,-0.0274
1968,12,2,1,43,0.6219
1968,12,2,2,33,1.2851
1968,12,2,3,34,-1.1160
1968,12,2,4,27,-0.4072
1968,12,2,5,31,-2.3495
1968,12,3,1,56,-3.9710
1968,12,3,2,83,-1.7608
1968,12,3,3,88,-3.8240
1968,12,3,4,94,-4.5592
1968,12,3,5,93,-3.9968
1969,1,1,1,16,-0.1976
1969,1,1,2,21,-2.4819
1969,1,1,3,19,-1.3060
1969,1,1,4,23,-0.1811
1969,1,1,5,49,-0.7898
1969,1,2,1,16,-2.3205
1969,1,2,2,22,0.6999
1969,1,2,3,40,0.9302
1969,1,2,4,42,-2.0698
1969,1,2,5,44,0.4345
1969,1,3,1,109,-1.4162
1969,1,3,2,98,-0.6677
1969,1,3,3,82,-0.1780
1969,1,3,4,76,-0.1192
1969,1,3,5,51,-1.1909
1969,2,1,1,30,-9.3559
1969,2,1,2,17,-8.6845
1969,2,1,3,24,-10.2746
1969,2,1,4,29,-10.9141
1969,2,1,5,24,-7.2135
1969,2,2,1,33,-6.0662
1969,2,2,2,33,-9.3051
1969,2,2,3,30,-4.4624
1969,2,2,4,33,-8.5262
1969,2,2,5,35,-7.6535
1969,2,3,1,77,-4.4859
1969,2,3,2,91,-4.6594
1969,2,3,3,87,-3.8187
1969,2,3,4,82,-3.9003
1969,2,3,5,81,-5.5710
1969,3,1,1,31,0.9840
1969,3,1,2,20,2.9343
1969,3,1,3,19,-0.8150
1969,3,1,4,24,1.8362
1969,3,1,5,31,1.6467
1969,3,2,1,36,3.5829
1969,3,2,2,33,1.6087
1969,3,2,3,33,0.8653
1969,3,2,4,29,2.4810
1969,3,2,5,30,2.6328
1969,3,3,1,73,4.0222
1969,3,3,2,87,0.7116
1969,3,3,3,90,3.8613
1969,3,3,4,87,4.3033
1969,3,3,5,79,1.3382
1969,4,1,1,41,-1.8034
1969,4,1,2,25,-1.0836
1969,4,1,3,23,1.4836
1969,4,1,4,20,-2.3811
1969,4,1,5,15,-6.1904
1969,4,2,1,39,2.3718
1969,4,2,2,32,-0.8645
1969,4,2,3,33,1.2051
1969,4,2,4,23,-0.9020
1969,4,2,5,25,1.0693
1969,4,3,1,63,-0.0422
1969,4,3,2,80,1.2924
1969,4,3,3,84,1.7136
1969,4,3,4,97,2.8050
1969,4,3,5,98,2.5824
1969,5,1,1,27,-0.0218
1969,5,1,2,23,1.1401
1969,5,1,3,21,-2.5295
1969,5,1,4,33,-0.6375
1969,5,1,5,21,1.5741
1969,5,2,1,40,-1.2765
1969,5,2,2,22,2.1539
1969,5,2,3,34,1.2273
1969,5,2,4,30,-1.3295
1969,5,2,5,31,-1.9094
1969,5,3,1,77,1.4845
1969,5,3,2,93,1.1234
1969,5,3,3,84,2.1713
1969,5,3,4,80,-0.8184
1969,5,3,5,86,-0.7865
1969,6,1,1,29,-13.0216
1969,6,1,2,21,-12.0161
1969,6,1,3,27,-10.4272
1969,6,1,4,23,-11.7907
1969,6,1,5,24,-13.9986
1969,6,2,1,35,-13.8890
1969,6,2,2,26,-8.5635
1969,6,2,3,33,-8.9494
1969,6,2,4,34,-8.4523
1969,6,2,5,26,-7.5437
1969,6,3,1,76,-1.5303
1969,6,3,2,89,-6.5630
1969,6,3,3,82,-5.7829
1969,6,3,4,83,-7.1678
1969,6,3,5,88,-6.2824
1969,7,1,1,35,-10.9174
1969,7,1,2,24,-10.4226
1969,7,1,3,23,-10.0181
1969,7,1,4,18,-8.5378
1969,7,1,5,28,-12.3460
1969,7,2,1,27,-10.6773
1969,7,2,2,37,-9.3757
1969,7,2,3,28,-5.3488
1969,7,2,4,30,-7.2330
1969,7,2,5,31,-8.6662
1969,7,3,1,78,-6.1030
1969,7,3,2,79,-5.5519
1969,7,3,3,89,-6.5164
1969,7,3,4,91,-5.6607
1969,7,3,5,83,-6.9460
1969,8,1,1,47,3.0284
1969,8,1,2,20,3.4320
1969,8,1,3,28,2.2491
1969,8,1,4,19,1.8269
1969,8,1,5,15,6.7797
1969,8,2,1,35,4.7577
1969,8,2,2,35,3.3853
1969,8,2,3,25,3.1668
1969,8,2,4,34,3.1599
1969,8,2,5,28,6.0965
1969,8,3,1,62,7.3123
1969,8,3,2,85,5.7048
1969,8,3,3,88,3.3992
1969,8,3,4,87,2.3826
1969,8,3,5,95,5.1941
1969,9,1,1,29,-7.0643
1969,9,1,2,23,0.1235
1969,9,1,3,23,-1.5874
1969,9,1,4,20,-2.7155
1969,9,1,5,33,-0.4675
1969,9,2,1,32,-0.0528
1969,9,2,2,30,-1.8057
1969,9,2,3,27,-1.4944
1969,9,2,4,33,-0.8399
1969,9,2,5,34,-3.4602
1969,9,3,1,77,-0.7204
1969,9,3,2,85,-2.9933
1969,9,3,3,92,-4.7242
1969,9,3,4,87,-2.5000
1969,9,3,5,74,-1.3552
1969,10,1,1,54,13.6760
1969,10,1,2,22,7.9571
1969,10,1,3,23,7.2000
