year,month,rank_ME,rank_RCA,nstocks,ret_vw
1981,6,2,1,41,-3.7961
1981,6,2,2,44,-1.4243
1981,6,2,3,55,-4.8649
1981,6,2,4,49,-6.7817
1981,6,2,5,59,-8.8858
1981,6,3,1,75,2.5055
1981,6,3,2,62,1.6655
1981,6,3,3,61,-1.1975
1981,6,3,4,65,-3.2222
1981,6,3,5,76,-4.7406
1981,7,1,1,120,-4.4360
1981,7,1,2,136,-5.5506
1981,7,1,3,134,-2.8598
1981,7,1,4,135,-4.4226
1981,7,1,5,214,-5.4526
1981,7,2,1,42,-1.1443
1981,7,2,2,55,-4.4629
1981,7,2,3,57,-3.0662
1981,7,2,4,56,-3.6185
1981,7,2,5,50,-4.6902
1981,7,3,1,69,5.9312
1981,7,3,2,70,2.2196
1981,7,3,3,56,-0.7975
1981,7,3,4,67,-3.8419
1981,7,3,5,77,-4.6589
1981,8,1,1,119,-8.6983
1981,8,1,2,135,-10.4557
1981,8,1,3,134,-11.0375
1981,8,1,4,134,-10.9521
1981,8,1,5,213,-13.8134
1981,8,2,1,42,-4.6314
1981,8,2,2,55,-7.9626
1981,8,2,3,56,-10.5827
1981,8,2,4,56,-10.3106
1981,8,2,5,50,-11.9666
1981,8,3,1,68,-4.2983
1981,8,3,2,69,-6.2857
1981,8,3,3,56,-4.9842
1981,8,3,4,67,-7.3775
1981,8,3,5,77,-6.5186
1981,9,1,1,117,-10.9868
1981,9,1,2,134,-10.5669
1981,9,1,3,134,-8.2721
1981,9,1,4,134,-8.4944
1981,9,1,5,213,-9.4494
1981,9,2,1,42,-8.1270
1981,9,2,2,55,-8.0657
1981,9,2,3,56,-9.5700
1981,9,2,4,56,-7.8706
1981,9,2,5,49,-6.6988
1981,9,3,1,67,-7.6508
1981,9,3,2,69,-6.7196
1981,9,3,3,55,-7.3367
1981,9,3,4,67,-3.2932
1981,9,3,5,77,-2.5166
1981,10,1,1,117,10.0518
1981,10,1,2,134,8.8306
1981,10,1,3,134,6.2800
1981,10,1,4,134,8.9300
1981,10,1,5,211,11.8559
1981,10,2,1,42,7.0674
1981,10,2,2,55,10.0865
1981,10,2,3,56,9.7045
1981,10,2,4,56,7.5933
1981,10,2,5,49,9.1019
1981,10,3,1,67,7.5208
1981,10,3,2,69,5.8470
1981,10,3,3,54,5.0061
1981,10,3,4,67,3.8361
1981,10,3,5,77,0.7843
1981,11,1,1,116,0.2203
1981,11,1,2,136,2.7032
1981,11,1,3,134,1.9712
1981,11,1,4,134,2.5061
1981,11,1,5,210,0.9806
1981,11,2,1,42,1.7859
1981,11,2,2,55,2.5304
1981,11,2,3,55,0.6573
1981,11,2,4,55,3.3012
1981,11,2,5,50,2.6814
1981,11,3,1,66,6.1173
1981,11,3,2,69,5.1975
1981,11,3,3,54,1.5309
1981,11,3,4,67,6.7918
1981,11,3,5,77,3.0527
1981,12,1,1,116,-2.8938
1981,12,1,2,135,0.0807
1981,12,1,3,132,0.1631
1981,12,1,4,133,-0.9061
1981,12,1,5,210,-1.5287
1981,12,2,1,42,-1.3738
1981,12,2,2,54,1.8284
1981,12,2,3,55,-1.8682
1981,12,2,4,55,0.4973
1981,12,2,5,50,-1.4095
1981,12,3,1,66,-4.5546
1981,12,3,2,69,-3.1965
1981,12,3,3,55,-1.4535
1981,12,3,4,67,-1.2349
1981,12,3,5,77,0.0386
1982,1,1,1,113,-2.8073
1982,1,1,2,134,-1.1592
1982,1,1,3,132,0.4719
1982,1,1,4,133,-2.4330
1982,1,1,5,210,-1.8701
1982,1,2,1,42,-5.7010
1982,1,2,2,54,-4.7600
1982,1,2,3,55,-3.4603
1982,1,2,4,55,-4.2516
1982,1,2,5,48,0.5766
1982,1,3,1,66,-6.2788
1982,1,3,2,68,-4.2784
1982,1,3,3,55,-5.4081
1982,1,3,4,67,0.1995
1982,1,3,5,77,3.5260
1982,2,1,1,113,-1.9157
1982,2,1,2,134,-4.4867
1982,2,1,3,131,-4.7818
1982,2,1,4,132,-4.2077
1982,2,1,5,209,-4.9818
1982,2,2,1,42,-5.5641
1982,2,2,2,55,-4.5926
1982,2,2,3,55,-7.8891
1982,2,2,4,55,-4.6479
1982,2,2,5,48,-4.4248
1982,2,3,1,66,-7.9931
1982,2,3,2,68,-6.9040
1982,2,3,3,54,-6.0788
1982,2,3,4,67,-3.8166
1982,2,3,5,77,-3.2103
1982,3,1,1,112,-0.5366
1982,3,1,2,133,-3.2839
1982,3,1,3,128,-1.6409
1982,3,1,4,132,-0.5505
1982,3,1,5,206,-1.1819
1982,3,2,1,42,-1.6305
1982,3,2,2,55,-2.0983
1982,3,2,3,55,-2.5263
1982,3,2,4,55,-1.5549
1982,3,2,5,47,2.4897
1982,3,3,1,66,-0.9985
1982,3,3,2,68,-1.7485
1982,3,3,3,54,-2.7408
1982,3,3,4,67,-0.2992
1982,3,3,5,77,-1.8156
1982,4,1,1,112,7.3752
1982,4,1,2,132,4.9629
1982,4,1,3,128,4.1109
1982,4,1,4,131,5.7595
1982,4,1,5,205,9.7824
1982,4,2,1,42,5.7765
1982,4,2,2,55,6.3255
1982,4,2,3,54,6.2384
1982,4,2,4,55,5.7170
1982,4,2,5,46,8.2108
1982,4,3,1,65,2.1618
1982,4,3,2,68,2.6841
1982,4,3,3,54,5.1170
1982,4,3,4,66,4.9014
1982,4,3,5,76,5.5191
1982,5,1,1,111,-2.5464
1982,5,1,2,132,-1.8964
1982,5,1,3,125,-1.5316
1982,5,1,4,130,-0.4852
1982,5,1,5,204,-2.3425
1982,5,2,1,41,-3.3098
1982,5,2,2,55,-3.5441
1982,5,2,3,54,-5.5478
1982,5,2,4,55,-3.5315
1982,5,2,5,46,-4.7488
1982,5,3,1,65,1.0675
1982,5,3,2,68,-1.7283
1982,5,3,3,54,-4.7512
1982,5,3,4,66,-5.1083
1982,5,3,5,75,-2.9413
1982,6,1,1,110,-3.0266
1982,6,1,2,131,-2.4427
1982,6,1,3,124,-2.6785
1982,6,1,4,131,-2.5386
1982,6,1,5,204,-3.0198
1982,6,2,1,41,0.0685
1982,6,2,2,55,-2.3842
1982,6,2,3,54,-3.7514
1982,6,2,4,55,-0.7063
1982,6,2,5,46,-2.9752
1982,6,3,1,64,-4.0918
1982,6,3,2,68,-3.8846
1982,6,3,3,54,-1.8832
1982,6,3,4,66,0.8518
1982,6,3,5,75,-1.2131
1982,7,1,1,138,-0.3647
1982,7,1,2,152,-1.8784
1982,7,1,3,155,-2.7269
1982,7,1,4,178,-0.5781
1982,7,1,5,223,-1.4546
1982,7,2,1,48,-2.1593
1982,7,2,2,46,2.6932
