year,month,rank_ME,rank_OCA,nstocks,ret_vw
1967,12,2,1,52,7.7750
1967,12,2,2,50,7.9607
1967,12,2,3,54,6.6645
1967,12,2,4,64,5.1057
1967,12,2,5,48,6.2635
1967,12,3,1,97,2.8426
1967,12,3,2,82,3.1183
1967,12,3,3,86,3.4856
1967,12,3,4,71,1.2779
1967,12,3,5,86,2.6908
1968,1,1,1,82,3.0642
1968,1,1,2,104,3.3625
1968,1,1,3,116,4.4505
1968,1,1,4,113,1.2548
1968,1,1,5,157,2.4197
1968,1,2,1,52,0.5868
1968,1,2,2,50,-1.0491
1968,1,2,3,54,-4.4849
1968,1,2,4,64,0.8088
1968,1,2,5,48,-0.8217
1968,1,3,1,97,-2.9575
1968,1,3,2,82,-4.1384
1968,1,3,3,86,-7.2966
1968,1,3,4,71,-6.0317
1968,1,3,5,86,-5.6744
1968,2,1,1,82,-7.9407
1968,2,1,2,104,-7.8818
1968,2,1,3,115,-9.1945
1968,2,1,4,113,-5.6798
1968,2,1,5,157,-5.1287
1968,2,2,1,52,-2.8153
1968,2,2,2,50,-4.9687
1968,2,2,3,54,-4.6581
1968,2,2,4,63,-7.9063
1968,2,2,5,48,-4.8028
1968,2,3,1,97,-3.2513
1968,2,3,2,82,-3.0689
1968,2,3,3,86,-4.9324
1968,2,3,4,71,-2.8214
1968,2,3,5,85,-1.6562
1968,3,1,1,82,-1.6203
1968,3,1,2,104,-0.9505
1968,3,1,3,115,-3.1184
1968,3,1,4,113,-0.3299
1968,3,1,5,158,0.3664
1968,3,2,1,52,-1.5844
1968,3,2,2,50,-1.8355
1968,3,2,3,54,-1.2499
1968,3,2,4,63,-1.8490
1968,3,2,5,48,1.2428
1968,3,3,1,97,-0.4081
1968,3,3,2,82,1.5780
1968,3,3,3,86,1.0305
1968,3,3,4,71,3.5102
1968,3,3,5,85,2.0904
1968,4,1,1,82,17.2670
1968,4,1,2,104,15.8538
1968,4,1,3,114,18.5026
1968,4,1,4,113,17.4054
1968,4,1,5,158,20.2904
1968,4,2,1,52,12.2931
1968,4,2,2,50,14.4301
1968,4,2,3,54,17.1469
1968,4,2,4,63,15.0288
1968,4,2,5,48,12.1340
1968,4,3,1,97,6.7340
1968,4,3,2,82,8.3544
1968,4,3,3,86,9.6769
1968,4,3,4,71,12.0365
1968,4,3,5,85,11.6930
1968,5,1,1,82,9.8543
1968,5,1,2,104,11.8852
1968,5,1,3,113,12.4398
1968,5,1,4,113,10.7755
1968,5,1,5,158,12.9693
1968,5,2,1,52,7.1406
1968,5,2,2,50,10.6047
1968,5,2,3,54,7.0528
1968,5,2,4,62,8.2699
1968,5,2,5,48,7.3401
1968,5,3,1,97,1.1228
1968,5,3,2,82,0.4866
1968,5,3,3,86,2.8884
1968,5,3,4,71,2.6859
1968,5,3,5,85,2.9284
1968,6,1,1,82,-0.2020
1968,6,1,2,104,2.8530
1968,6,1,3,113,0.0006
1968,6,1,4,113,-0.6266
1968,6,1,5,158,-1.5147
1968,6,2,1,52,-0.1372
1968,6,2,2,50,0.5740
1968,6,2,3,54,-0.8778
1968,6,2,4,62,-1.7402
1968,6,2,5,48,0.3315
1968,6,3,1,97,1.2441
1968,6,3,2,82,0.6820
1968,6,3,3,86,-0.3784
1968,6,3,4,71,-1.2366
1968,6,3,5,85,0.6318
1968,7,1,1,84,-0.9285
1968,7,1,2,104,-5.9186
1968,7,1,3,131,-4.1352
1968,7,1,4,139,-2.9891
1968,7,1,5,173,-2.7152
