year,month,rank_ME,rank_r5n,nstocks,ret_vw
1967,1,1,1,66,19.4706
1967,1,1,2,23,20.5143
1967,1,1,3,25,14.7207
1967,1,1,4,24,18.3145
1967,1,1,5,28,18.2949
1967,1,2,1,46,20.9365
1967,1,2,2,53,13.8295
1967,1,2,3,42,15.5962
1967,1,2,4,50,12.7175
1967,1,2,5,47,17.5907
1967,1,3,1,68,11.4885
1967,1,3,2,105,7.2080
1967,1,3,3,113,5.9709
1967,1,3,4,106,6.3382
1967,1,3,5,106,9.6566
1967,2,1,1,53,4.9048
1967,2,1,2,27,5.5166
1967,2,1,3,23,1.3035
1967,2,1,4,31,3.2596
1967,2,1,5,34,0.3359
1967,2,2,1,52,3.1693
1967,2,2,2,41,3.9145
1967,2,2,3,49,1.4454
1967,2,2,4,46,1.7972
1967,2,2,5,53,0.0729
1967,2,3,1,76,0.6804
1967,2,3,2,112,2.0259
1967,2,3,3,109,-0.3475
1967,2,3,4,103,-0.1827
1967,2,3,5,94,1.1902
1967,3,1,1,53,6.2325
1967,3,1,2,20,0.8292
1967,3,1,3,32,10.7786
1967,3,1,4,32,7.9918
1967,3,1,5,31,4.7500
1967,3,2,1,43,4.9424
1967,3,2,2,50,5.7832
1967,3,2,3,46,6.1548
1967,3,2,4,47,6.7435
1967,3,2,5,55,5.0126
1967,3,3,1,86,3.5122
1967,3,3,2,110,4.2793
1967,3,3,3,103,2.8638
1967,3,3,4,101,5.4192
1967,3,3,5,95,5.4192
1967,4,1,1,53,3.0205
1967,4,1,2,22,5.6574
1967,4,1,3,26,4.9561
1967,4,1,4,29,4.6372
1967,4,1,5,40,5.2823
1967,4,2,1,47,1.3887
1967,4,2,2,39,2.8425
1967,4,2,3,49,2.8695
1967,4,2,4,52,4.9878
1967,4,2,5,55,2.3240
1967,4,3,1,81,1.2134
1967,4,3,2,120,5.4293
1967,4,3,3,106,3.2412
1967,4,3,4,99,5.5176
1967,4,3,5,86,6.5073
1967,5,1,1,48,2.8113
1967,5,1,2,26,-1.9591
1967,5,1,3,29,-2.3749
1967,5,1,4,34,0.0383
1967,5,1,5,34,0.9010
1967,5,2,1,43,-3.3475
1967,5,2,2,45,-1.9646
1967,5,2,3,48,-1.3129
1967,5,2,4,47,0.0632
1967,5,2,5,58,-1.5858
1967,5,3,1,90,-4.5609
1967,5,3,2,110,-4.7212
1967,5,3,3,105,-3.8895
1967,5,3,4,99,-4.4129
1967,5,3,5,90,-5.4548
1967,6,1,1,43,6.1954
1967,6,1,2,28,9.2643
1967,6,1,3,34,9.7983
1967,6,1,4,29,9.2180
1967,6,1,5,35,7.7363
1967,6,2,1,46,4.6047
1967,6,2,2,43,5.9398
1967,6,2,3,48,6.5897
1967,6,2,4,56,7.3006
1967,6,2,5,50,6.4089
1967,6,3,1,92,1.7456
1967,6,3,2,109,1.1816
1967,6,3,3,100,1.8924
1967,6,3,4,95,2.6450
1967,6,3,5,96,2.6676
1967,7,1,1,146,11.2109
1967,7,1,2,107,6.9433
1967,7,1,3,66,9.0735
1967,7,1,4,106,11.8025
1967,7,1,5,129,8.2191
1967,7,2,1,54,7.3615
1967,7,2,2,45,8.2424
1967,7,2,3,57,7.4594
1967,7,2,4,69,6.8659
1967,7,2,5,75,8.3534
1967,7,3,1,97,0.1420
1967,7,3,2,110,4.4365
1967,7,3,3,114,7.0587
1967,7,3,4,94,5.9071
1967,7,3,5,116,4.0671
1967,8,1,1,148,-0.1314
1967,8,1,2,95,0.9366
1967,8,1,3,82,-0.0936
1967,8,1,4,89,-0.6163
1967,8,1,5,139,-0.9592
1967,8,2,1,49,0.9160
1967,8,2,2,53,1.3377
1967,8,2,3,54,-0.1697
1967,8,2,4,68,-1.7901
1967,8,2,5,73,0.4625
1967,8,3,1,100,-0.7322
1967,8,3,2,107,-0.4619
1967,8,3,3,113,-0.7371
1967,8,3,4,106,-0.3493
1967,8,3,5,106,-1.5469
1967,9,1,1,162,7.8952
1967,9,1,2,106,8.0687
1967,9,1,3,77,6.9417
1967,9,1,4,102,8.7541
1967,9,1,5,118,4.0763
1967,9,2,1,61,2.5403
1967,9,2,2,49,2.2503
1967,9,2,3,50,5.1327
1967,9,2,4,65,5.5142
1967,9,2,5,73,5.4405
1967,9,3,1,84,1.6559
1967,9,3,2,114,3.5808
1967,9,3,3,115,4.0613
1967,9,3,4,105,2.5085
1967,9,3,5,110,2.8931
1967,10,1,1,169,-1.4707
1967,10,1,2,78,-0.0752
1967,10,1,3,75,-1.6565
1967,10,1,4,107,-2.0188
1967,10,1,5,139,-3.0638
1967,10,2,1,53,-3.6672
1967,10,2,2,54,-1.6574
1967,10,2,3,55,-4.5649
1967,10,2,4,66,-2.9192
1967,10,2,5,65,-4.3359
1967,10,3,1,83,-4.4665
1967,10,3,2,115,-4.4024
1967,10,3,3,114,-0.1884
1967,10,3,4,102,-2.8380
1967,10,3,5,112,-2.2747
1967,11,1,1,188,-1.8861
1967,11,1,2,78,2.1457
1967,11,1,3,69,-0.4752
1967,11,1,4,92,-0.4235
1967,11,1,5,135,0.9831
1967,11,2,1,60,0.6294
1967,11,2,2,57,0.3752
1967,11,2,3,53,0.5693
1967,11,2,4,63,0.5388
1967,11,2,5,65,0.8982
1967,11,3,1,76,-2.2885
1967,11,3,2,115,0.5828
1967,11,3,3,113,0.5276
1967,11,3,4,109,1.4285
1967,11,3,5,111,1.6506
1967,12,1,1,145,12.9330
1967,12,1,2,81,9.0364
1967,12,1,3,98,9.2213
1967,12,1,4,112,8.5951
1967,12,1,5,139,10.3028
1967,12,2,1,58,7.3627
1967,12,2,2,52,4.8282
1967,12,2,3,54,7.6814
1967,12,2,4,53,4.8639
1967,12,2,5,82,8.1563
1967,12,3,1,85,2.5138
1967,12,3,2,119,2.8122
1967,12,3,3,102,3.4286
1967,12,3,4,113,2.0957
1967,12,3,5,104,2.3330
1968,1,1,1,204,7.3402
1968,1,1,2,88,4.4314
1968,1,1,3,82,1.5474
1968,1,1,4,82,2.0167
1968,1,1,5,110,2.0006
1968,1,2,1,69,2.0763
1968,1,2,2,51,1.8558
1968,1,2,3,41,3.1733
1968,1,2,4,61,-0.5015
1968,1,2,5,78,-3.0872
1968,1,3,1,58,-1.1548
1968,1,3,2,110,-0.6139
1968,1,3,3,121,-3.9512
1968,1,3,4,107,-3.8053
1968,1,3,5,121,-9.6707
1968,2,1,1,161,-6.4458
1968,2,1,2,78,-3.5324
1968,2,1,3,82,-5.3172
1968,2,1,4,111,-6.0297
1968,2,1,5,130,-8.1454
1968,2,2,1,63,-2.1318
1968,2,2,2,45,-2.7537
1968,2,2,3,44,-3.9713
1968,2,2,4,58,-4.2239
1968,2,2,5,89,-7.2671
1968,2,3,1,75,-1.7946
1968,2,3,2,119,-1.5953
1968,2,3,3,110,-2.6778
1968,2,3,4,99,-4.2406
1968,2,3,5,109,-4.5555
1968,3,1,1,123,-0.9098
1968,3,1,2,84,-1.9284
1968,3,1,3,94,-1.2935
1968,3,1,4,111,-1.3303
1968,3,1,5,150,-1.6529
1968,3,2,1,47,-0.9845
1968,3,2,2,50,-2.9994
1968,3,2,3,53,-1.2005
1968,3,2,4,64,-1.1592
1968,3,2,5,83,-0.5776
1968,3,3,1,94,-1.9429
1968,3,3,2,109,-0.7334
1968,3,3,3,101,-0.4507
1968,3,3,4,104,3.4136
1968,3,3,5,104,2.9793
1968,4,1,1,121,16.5713
1968,4,1,2,80,15.3741
1968,4,1,3,89,13.1138
1968,4,1,4,140,15.7136
1968,4,1,5,146,16.3734
1968,4,2,1,49,6.6751
1968,4,2,2,43,10.8142
1968,4,2,3,54,14.7738
1968,4,2,4,68,14.0117
1968,4,2,5,80,16.3490
1968,4,3,1,92,4.5333
1968,4,3,2,112,7.8618
1968,4,3,3,108,9.1574
1968,4,3,4,95,10.7759
1968,4,3,5,108,12.8815
1968,5,1,1,95,11.7976
1968,5,1,2,81,10.7022
1968,5,1,3,108,13.9206
1968,5,1,4,139,13.2760
1968,5,1,5,154,10.9715
1968,5,2,1,53,3.7304
1968,5,2,2,50,5.1880
1968,5,2,3,53,6.8612
1968,5,2,4,58,7.7077
1968,5,2,5,80,9.2944
1968,5,3,1,96,-0.3728
1968,5,3,2,107,1.5144
1968,5,3,3,101,2.3342
1968,5,3,4,101,2.5346
1968,5,3,5,109,4.1631
1968,6,1,1,97,0.4431
1968,6,1,2,82,3.8832
1968,6,1,3,100,-0.1612
1968,6,1,4,137,1.2954
1968,6,1,5,159,-1.6722
1968,6,2,1,52,1.6823
1968,6,2,2,48,2.7094
1968,6,2,3,53,1.0119
1968,6,2,4,61,-1.0323
1968,6,2,5,82,0.3221
1968,6,3,1,95,3.1289
1968,6,3,2,103,2.0642
1968,6,3,3,104,0.5717
1968,6,3,4,106,-0.0673
1968,6,3,5,109,-0.7933
1968,7,1,1,94,2.4008
1968,7,1,2,74,-4.7103
1968,7,1,3,108,-2.6921
1968,7,1,4,112,-3.2558
1968,7,1,5,180,-5.8358
1968,7,2,1,45,0.3793
1968,7,2,2,49,-2.4648
1968,7,2,3,65,-0.9211
1968,7,2,4,53,-2.5009
1968,7,2,5,80,-7.5278
1968,7,3,1,101,2.5723
1968,7,3,2,109,-0.1099
1968,7,3,3,86,-3.4860
1968,7,3,4,109,-3.9942
1968,7,3,5,107,-7.0475
1968,8,1,1,74,5.6375
1968,8,1,2,68,5.4416
1968,8,1,3,104,3.6769
1968,8,1,4,120,3.8084
1968,8,1,5,193,2.7642
1968,8,2,1,46,1.4080
1968,8,2,2,50,3.0984
1968,8,2,3,52,4.8790
1968,8,2,4,63,4.2460
1968,8,2,5,78,3.4220
1968,8,3,1,110,1.3675
1968,8,3,2,105,1.7100
1968,8,3,3,96,1.9855
1968,8,3,4,106,1.5110
1968,8,3,5,95,0.1061
1968,9,1,1,71,8.9920
1968,9,1,2,72,6.6950
1968,9,1,3,108,5.2409
1968,9,1,4,126,6.5140
1968,9,1,5,187,8.6447
