year,month,rank_ME,rank_ETR,nstocks,ret_vw
1967,12,2,3,15,6.4662
1967,12,2,4,24,3.3822
1967,12,2,5,32,8.3337
1967,12,3,1,85,5.2534
1967,12,3,2,86,2.5762
1967,12,3,3,99,2.4471
1967,12,3,4,91,1.5117
1967,12,3,5,76,3.2500
1968,1,1,1,21,-2.5255
1968,1,1,2,7,2.2039
1968,1,1,3,12,0.6253
1968,1,1,4,12,-0.7159
1968,1,1,5,26,1.8930
1968,1,2,1,27,-0.9113
1968,1,2,2,32,1.0121
1968,1,2,3,15,-0.0977
1968,1,2,4,24,1.7376
1968,1,2,5,32,-1.7332
1968,1,3,1,85,-7.7605
1968,1,3,2,86,-6.6860
1968,1,3,3,99,-1.5362
1968,1,3,4,91,-4.5457
1968,1,3,5,76,-4.0490
1968,2,1,1,21,-7.9268
1968,2,1,2,7,-2.9235
1968,2,1,3,12,0.9527
1968,2,1,4,12,-5.0315
1968,2,1,5,26,-3.1045
1968,2,2,1,27,-1.8057
1968,2,2,2,32,-4.0639
1968,2,2,3,15,-4.0590
1968,2,2,4,23,-2.2307
1968,2,2,5,32,-0.5258
1968,2,3,1,85,-4.9956
1968,2,3,2,86,-3.5124
1968,2,3,3,98,-3.1590
1968,2,3,4,91,-1.9872
1968,2,3,5,76,-2.6424
1968,3,1,1,21,-0.8183
1968,3,1,2,7,2.8668
1968,3,1,3,12,0.9346
1968,3,1,4,12,2.2183
1968,3,1,5,26,1.1854
1968,3,2,1,27,-0.3194
1968,3,2,2,32,0.5340
1968,3,2,3,15,-2.4544
1968,3,2,4,23,-2.0979
1968,3,2,5,32,-3.5807
1968,3,3,1,85,-0.3247
1968,3,3,2,86,1.8718
1968,3,3,3,98,0.1064
1968,3,3,4,91,1.7637
1968,3,3,5,76,-0.4293
1968,4,1,1,21,11.5204
1968,4,1,2,7,15.2797
1968,4,1,3,12,11.4566
1968,4,1,4,12,17.2195
1968,4,1,5,26,16.2221
1968,4,2,1,27,13.0882
1968,4,2,2,32,10.6068
1968,4,2,3,15,9.5931
1968,4,2,4,23,11.1496
1968,4,2,5,32,16.2269
1968,4,3,1,85,11.5953
1968,4,3,2,86,9.3417
1968,4,3,3,98,6.3287
1968,4,3,4,91,10.2937
1968,4,3,5,76,7.7091
1968,5,1,1,21,8.4865
1968,5,1,2,7,12.3562
1968,5,1,3,12,5.7782
1968,5,1,4,12,10.9095
1968,5,1,5,26,8.8442
1968,5,2,1,27,4.3957
1968,5,2,2,32,5.4462
1968,5,2,3,15,3.1075
1968,5,2,4,23,3.4301
1968,5,2,5,32,7.5474
1968,5,3,1,85,4.4477
1968,5,3,2,86,2.9223
1968,5,3,3,98,1.3991
1968,5,3,4,91,1.5233
1968,5,3,5,76,-0.1120
1968,6,1,1,21,2.5724
1968,6,1,2,7,4.8544
1968,6,1,3,12,-3.2369
1968,6,1,4,12,1.1326
1968,6,1,5,26,0.2421
1968,6,2,1,27,3.1232
1968,6,2,2,32,1.5431
1968,6,2,3,15,1.2768
1968,6,2,4,23,3.2785
1968,6,2,5,32,-0.6466
1968,6,3,1,85,0.7241
1968,6,3,2,86,1.7374
1968,6,3,3,98,2.1915
1968,6,3,4,91,0.6589
1968,6,3,5,76,-0.1202
1968,7,1,1,77,-2.2281
1968,7,1,2,32,-1.2290
1968,7,1,3,28,-5.1571
1968,7,1,4,41,-1.9838
1968,7,1,5,80,-5.2751
1968,7,2,1,46,-3.9538
1968,7,2,2,30,-3.9692
1968,7,2,3,42,-1.2188
1968,7,2,4,47,-2.8977
1968,7,2,5,45,-2.9512
1968,7,3,1,82,-1.5664
1968,7,3,2,113,-3.5526
1968,7,3,3,106,-3.6912
1968,7,3,4,88,2.2854
1968,7,3,5,79,-3.6512
