year,month,rank_ME,rank_OL,nstocks,ret_vw
1967,12,2,2,44,6.5297
1967,12,2,3,56,5.4590
1967,12,2,4,63,7.4242
1967,12,2,5,61,6.0219
1967,12,3,1,109,2.8467
1967,12,3,2,97,2.8656
1967,12,3,3,89,3.2655
1967,12,3,4,65,0.6566
1967,12,3,5,63,2.3510
1968,1,1,1,72,4.0221
1968,1,1,2,64,2.7026
1968,1,1,3,81,1.1840
1968,1,1,4,131,0.5031
1968,1,1,5,229,4.9666
1968,1,2,1,47,0.2940
1968,1,2,2,44,-0.7094
1968,1,2,3,56,-1.7470
1968,1,2,4,63,-2.1528
1968,1,2,5,61,-0.7291
1968,1,3,1,109,-3.6730
1968,1,3,2,97,-5.1680
1968,1,3,3,89,-5.3340
1968,1,3,4,65,-8.0797
1968,1,3,5,63,-5.2165
1968,2,1,1,72,-8.5673
1968,2,1,2,64,-9.5671
1968,2,1,3,81,-7.1139
1968,2,1,4,131,-6.6602
1968,2,1,5,228,-5.7933
1968,2,2,1,47,-2.6388
1968,2,2,2,43,-4.4874
1968,2,2,3,56,-5.7327
1968,2,2,4,63,-6.1684
1968,2,2,5,61,-5.6924
1968,2,3,1,109,-2.5723
1968,2,3,2,97,-6.1879
1968,2,3,3,89,-3.0358
1968,2,3,4,64,-2.7744
1968,2,3,5,63,-1.3843
1968,3,1,1,72,-1.7590
1968,3,1,2,65,-3.1931
1968,3,1,3,81,-0.6849
1968,3,1,4,131,-0.6241
1968,3,1,5,228,-0.5100
1968,3,2,1,47,-0.7342
1968,3,2,2,43,-1.7759
1968,3,2,3,56,-2.2355
1968,3,2,4,63,-1.0040
1968,3,2,5,61,-0.1901
1968,3,3,1,109,1.2951
1968,3,3,2,97,1.7042
1968,3,3,3,89,1.2208
1968,3,3,4,64,0.5822
1968,3,3,5,63,2.4648
1968,4,1,1,72,22.2546
1968,4,1,2,65,14.2454
1968,4,1,3,81,16.8014
1968,4,1,4,130,16.2023
1968,4,1,5,228,19.1598
1968,4,2,1,47,13.4695
1968,4,2,2,43,13.7338
1968,4,2,3,56,14.9449
1968,4,2,4,63,14.3917
1968,4,2,5,61,14.2623
1968,4,3,1,109,6.7288
1968,4,3,2,97,11.2106
1968,4,3,3,89,10.8782
1968,4,3,4,64,12.8219
1968,4,3,5,63,12.7852
1968,5,1,1,72,12.8337
1968,5,1,2,65,9.4078
1968,5,1,3,81,10.1914
1968,5,1,4,130,10.8654
1968,5,1,5,227,13.0847
1968,5,2,1,47,8.5958
1968,5,2,2,43,8.2436
1968,5,2,3,56,6.6340
1968,5,2,4,62,7.5435
1968,5,2,5,61,8.9944
1968,5,3,1,109,1.8721
1968,5,3,2,97,2.8832
1968,5,3,3,89,1.0440
1968,5,3,4,64,1.1980
1968,5,3,5,63,2.8652
1968,6,1,1,72,0.0476
1968,6,1,2,65,1.3427
1968,6,1,3,81,0.0334
1968,6,1,4,130,-0.7399
1968,6,1,5,227,0.0082
1968,6,2,1,47,0.3357
1968,6,2,2,43,-1.4094
1968,6,2,3,56,0.2866
1968,6,2,4,62,-0.2182
1968,6,2,5,61,-0.8954
1968,6,3,1,109,0.8404
1968,6,3,2,97,-0.3738
1968,6,3,3,89,0.4724
1968,6,3,4,64,-1.2890
1968,6,3,5,63,0.1194
1968,7,1,1,72,-2.0313
1968,7,1,2,82,-2.9029
1968,7,1,3,92,-4.1530
1968,7,1,4,157,-5.1243
1968,7,1,5,233,-2.4816
1968,7,2,1,53,-5.9681
1968,7,2,2,49,-3.2164
1968,7,2,3,54,-4.1433
1968,7,2,4,67,-4.9112
1968,7,2,5,72,-3.8232
1968,7,3,1,109,0.2079
1968,7,3,2,101,-2.6132
1968,7,3,3,82,-4.4274
1968,7,3,4,70,-4.6868
1968,7,3,5,60,-5.1586
1968,8,1,1,72,5.2726
1968,8,1,2,82,5.3241
1968,8,1,3,92,3.0088
1968,8,1,4,157,4.2460
1968,8,1,5,232,5.2046
1968,8,2,1,53,3.6240
1968,8,2,2,49,3.2186
1968,8,2,3,54,6.5753
1968,8,2,4,66,2.6915
1968,8,2,5,72,5.4784
1968,8,3,1,109,0.9880
1968,8,3,2,101,3.5536
1968,8,3,3,81,1.7286
1968,8,3,4,70,0.6972
1968,8,3,5,60,1.2123
1968,9,1,1,72,10.0048
1968,9,1,2,82,8.0966
1968,9,1,3,92,6.5690
1968,9,1,4,157,6.7645
1968,9,1,5,232,7.2903
1968,9,2,1,53,5.9284
1968,9,2,2,49,8.0769
1968,9,2,3,53,6.3330
1968,9,2,4,66,6.1921
1968,9,2,5,72,8.5327
1968,9,3,1,109,3.0528
1968,9,3,2,101,4.6921
1968,9,3,3,81,5.6449
1968,9,3,4,70,4.0538
1968,9,3,5,60,6.0488
1968,10,1,1,72,-1.7180
1968,10,1,2,81,-0.0078
1968,10,1,3,92,-0.3740
1968,10,1,4,157,1.1222
1968,10,1,5,231,1.0507
1968,10,2,1,53,-1.6956
1968,10,2,2,49,2.5853
1968,10,2,3,53,0.7463
1968,10,2,4,66,0.1499
1968,10,2,5,72,1.9513
1968,10,3,1,109,-0.0361
1968,10,3,2,101,1.7073
1968,10,3,3,81,0.9966
1968,10,3,4,70,2.1254
1968,10,3,5,59,-0.1192
1968,11,1,1,71,5.5313
1968,11,1,2,81,8.5715
1968,11,1,3,92,6.3280
1968,11,1,4,157,6.2687
1968,11,1,5,231,8.2427
1968,11,2,1,53,6.7473
1968,11,2,2,49,8.1319
1968,11,2,3,54,8.8681
1968,11,2,4,66,7.9759
1968,11,2,5,72,7.4050
1968,11,3,1,109,6.0544
1968,11,3,2,101,6.8926
1968,11,3,3,81,2.2958
1968,11,3,4,70,4.0718
1968,11,3,5,59,5.9658
1968,12,1,1,71,2.1295
1968,12,1,2,82,5.9933
1968,12,1,3,92,0.9434
1968,12,1,4,157,0.8740
1968,12,1,5,232,1.9945
1968,12,2,1,53,-1.1181
1968,12,2,2,49,-0.5067
1968,12,2,3,54,-2.7458
1968,12,2,4,66,0.1107
1968,12,2,5,72,-1.8757
1968,12,3,1,109,-4.3779
1968,12,3,2,101,-3.4234
1968,12,3,3,81,-3.5873
1968,12,3,4,70,-4.9612
1968,12,3,5,59,-3.7878
1969,1,1,1,71,-1.1107
1969,1,1,2,82,-0.4745
1969,1,1,3,92,-1.2805
1969,1,1,4,157,-1.9771
1969,1,1,5,232,-1.4339
1969,1,2,1,53,0.2868
1969,1,2,2,49,-0.7247
1969,1,2,3,54,-2.2425
1969,1,2,4,66,-3.2851
1969,1,2,5,72,-2.7821
1969,1,3,1,109,-1.1100
1969,1,3,2,100,-0.5439
1969,1,3,3,81,-0.6307
1969,1,3,4,70,-2.7537
1969,1,3,5,59,-2.3514
1969,2,1,1,71,-11.8888
1969,2,1,2,82,-9.3455
1969,2,1,3,90,-9.8568
1969,2,1,4,157,-9.9806
1969,2,1,5,231,-9.8803
1969,2,2,1,53,-10.3546
1969,2,2,2,49,-10.0923
1969,2,2,3,54,-8.3985
1969,2,2,4,66,-8.1121
1969,2,2,5,72,-6.4115
1969,2,3,1,109,-3.9188
1969,2,3,2,100,-6.3150
1969,2,3,3,81,-3.3317
1969,2,3,4,70,-4.0507
1969,2,3,5,59,-5.8379
1969,3,1,1,71,3.3074
1969,3,1,2,82,2.6413
1969,3,1,3,90,1.7890
1969,3,1,4,157,2.5375
1969,3,1,5,231,3.0918
1969,3,2,1,52,2.9722
1969,3,2,2,49,3.3153
1969,3,2,3,54,4.2065
1969,3,2,4,66,0.3315
1969,3,2,5,72,4.4387
1969,3,3,1,109,3.4087
1969,3,3,2,100,4.8873
1969,3,3,3,81,4.7233
1969,3,3,4,70,3.1520
1969,3,3,5,59,3.1054
1969,4,1,1,71,-1.0862
1969,4,1,2,80,0.8845
1969,4,1,3,90,-2.0919
1969,4,1,4,157,0.0688
1969,4,1,5,231,0.0098
1969,4,2,1,52,0.0754
1969,4,2,2,49,1.9027
1969,4,2,3,54,0.8556
1969,4,2,4,65,1.5989
1969,4,2,5,72,1.3339
1969,4,3,1,109,2.4817
1969,4,3,2,100,1.7493
1969,4,3,3,80,2.6556
1969,4,3,4,70,2.6490
1969,4,3,5,58,2.5705
1969,5,1,1,71,3.7953
1969,5,1,2,80,1.3791
1969,5,1,3,91,3.8439
1969,5,1,4,157,-0.5298
1969,5,1,5,231,-0.1441
1969,5,2,1,53,0.6067
1969,5,2,2,49,1.3418
1969,5,2,3,54,-0.9709
1969,5,2,4,65,0.7865
1969,5,2,5,72,-0.6234
1969,5,3,1,108,0.8833
1969,5,3,2,100,-0.1657
1969,5,3,3,80,0.2093
1969,5,3,4,70,1.3624
1969,5,3,5,58,-2.2693
1969,6,1,1,71,-15.7956
1969,6,1,2,81,-14.0396
1969,6,1,3,91,-11.8910
1969,6,1,4,157,-14.2482
1969,6,1,5,231,-13.2462
1969,6,2,1,53,-12.5837
1969,6,2,2,49,-11.7581
1969,6,2,3,54,-11.6156
1969,6,2,4,66,-10.3882
1969,6,2,5,72,-9.6285
1969,6,3,1,108,-5.2495
1969,6,3,2,100,-6.3735
1969,6,3,3,81,-5.6372
1969,6,3,4,70,-5.7031
1969,6,3,5,58,-5.3953
1969,7,1,1,89,-12.0344
1969,7,1,2,100,-10.4947
1969,7,1,3,121,-12.2715
1969,7,1,4,160,-11.5155
1969,7,1,5,252,-11.6611
1969,7,2,1,59,-11.0601
1969,7,2,2,53,-9.5285
1969,7,2,3,54,-10.0284
1969,7,2,4,72,-8.7981
1969,7,2,5,84,-8.3443
1969,7,3,1,114,-6.2618
1969,7,3,2,105,-4.7798
1969,7,3,3,94,-5.5570
1969,7,3,4,69,-6.5863
1969,7,3,5,63,-8.5149
1969,8,1,1,89,3.9807
1969,8,1,2,100,3.6833
1969,8,1,3,120,4.6122
1969,8,1,4,160,4.2396
1969,8,1,5,252,4.3470
1969,8,2,1,59,9.2922
1969,8,2,2,53,7.0730
1969,8,2,3,54,5.1882
1969,8,2,4,72,5.0524
1969,8,2,5,84,6.1107
1969,8,3,1,114,5.0110
1969,8,3,2,105,6.3071
1969,8,3,3,94,6.4233
1969,8,3,4,69,3.9018
1969,8,3,5,63,7.0661
1969,9,1,1,89,-2.4161
1969,9,1,2,100,-0.3069
1969,9,1,3,121,-5.5204
1969,9,1,4,160,-3.5273
1969,9,1,5,252,-4.4745
1969,9,2,1,57,1.3940
1969,9,2,2,53,-1.9516
1969,9,2,3,54,-2.3074
1969,9,2,4,72,0.8423
1969,9,2,5,83,0.0970
1969,9,3,1,113,-4.2337
1969,9,3,2,105,-2.5887
1969,9,3,3,94,0.1893
1969,9,3,4,69,0.0695
1969,9,3,5,63,-0.3549
1969,10,1,1,89,8.9845
1969,10,1,2,99,8.4774
1969,10,1,3,121,11.2786
1969,10,1,4,160,12.3428
1969,10,1,5,252,10.7329
1969,10,2,1,57,8.0664
1969,10,2,2,53,10.4652
1969,10,2,3,53,8.7102
1969,10,2,4,72,8.1533
1969,10,2,5,83,8.1268
1969,10,3,1,113,3.2170
1969,10,3,2,105,5.4060
1969,10,3,3,94,6.6139
1969,10,3,4,69,5.2138
1969,10,3,5,63,7.4706
1969,11,1,1,89,-8.1065
1969,11,1,2,99,-5.7860
1969,11,1,3,121,-7.2488
1969,11,1,4,160,-7.0088
1969,11,1,5,252,-6.9807
1969,11,2,1,58,-5.8830
1969,11,2,2,52,-5.4386
1969,11,2,3,53,-3.6902
1969,11,2,4,72,-4.5328
1969,11,2,5,83,-4.5646
1969,11,3,1,114,-2.4258
1969,11,3,2,105,-1.9592
1969,11,3,3,94,-2.5002
1969,11,3,4,69,-3.3259
1969,11,3,5,63,-4.2644
1969,12,1,1,89,-9.3337
1969,12,1,2,100,-8.7720
1969,12,1,3,121,-6.0734
