year,month,rank_ME,rank_HS,nstocks,ret_vw
1967,12,2,1,43,2.6031
1967,12,2,2,45,4.6286
1967,12,2,3,34,3.3013
1967,12,2,4,56,8.9601
1967,12,2,5,42,10.8759
1967,12,3,1,96,2.0028
1967,12,3,2,74,2.7502
1967,12,3,3,67,4.0944
1967,12,3,4,72,2.3572
1967,12,3,5,73,2.1610
1968,1,1,1,52,0.8693
1968,1,1,2,88,2.1280
1968,1,1,3,67,-0.7145
1968,1,1,4,108,2.0082
1968,1,1,5,83,5.2737
1968,1,2,1,43,-1.8056
1968,1,2,2,45,-1.0339
1968,1,2,3,34,0.5507
1968,1,2,4,56,-3.1928
1968,1,2,5,42,-2.5465
1968,1,3,1,96,-3.9358
1968,1,3,2,74,-3.6556
1968,1,3,3,67,-4.4462
1968,1,3,4,72,-6.6890
1968,1,3,5,73,-5.2416
1968,2,1,1,52,-4.8153
1968,2,1,2,88,-7.3432
1968,2,1,3,67,-6.9785
1968,2,1,4,107,-6.5534
1968,2,1,5,83,-9.2865
1968,2,2,1,43,-2.6836
1968,2,2,2,44,-4.8553
1968,2,2,3,34,-4.5030
1968,2,2,4,56,-3.6589
1968,2,2,5,42,-8.1609
1968,2,3,1,95,-2.5109
1968,2,3,2,74,-3.7774
1968,2,3,3,67,-4.2760
1968,2,3,4,72,-3.5546
1968,2,3,5,73,-2.6792
1968,3,1,1,52,-0.3320
1968,3,1,2,88,0.2060
1968,3,1,3,68,-0.6127
1968,3,1,4,107,-2.4601
1968,3,1,5,83,-1.9319
1968,3,2,1,43,0.0621
1968,3,2,2,44,-1.7914
1968,3,2,3,34,-3.1366
1968,3,2,4,56,-2.1784
1968,3,2,5,42,-0.0789
1968,3,3,1,95,0.5783
1968,3,3,2,74,2.5660
1968,3,3,3,67,0.4328
1968,3,3,4,72,2.6246
1968,3,3,5,73,0.9706
1968,4,1,1,51,17.4172
1968,4,1,2,88,16.6599
1968,4,1,3,68,13.2174
1968,4,1,4,107,17.2487
1968,4,1,5,83,17.2566
1968,4,2,1,43,11.8798
1968,4,2,2,44,12.8975
1968,4,2,3,34,10.9840
1968,4,2,4,56,15.7267
1968,4,2,5,42,16.7737
1968,4,3,1,95,6.7801
1968,4,3,2,74,11.0113
1968,4,3,3,67,10.7413
1968,4,3,4,72,11.0307
1968,4,3,5,73,8.2783
1968,5,1,1,51,11.4200
1968,5,1,2,88,9.4703
1968,5,1,3,68,7.6825
1968,5,1,4,107,9.1283
1968,5,1,5,83,12.3892
1968,5,2,1,43,4.5906
1968,5,2,2,44,8.7055
1968,5,2,3,33,5.6929
1968,5,2,4,56,7.8614
1968,5,2,5,42,12.9958
1968,5,3,1,95,0.5243
1968,5,3,2,74,1.9626
1968,5,3,3,67,1.8987
1968,5,3,4,72,2.6697
1968,5,3,5,73,1.1400
1968,6,1,1,51,-0.6777
1968,6,1,2,88,1.8897
1968,6,1,3,68,0.9216
1968,6,1,4,107,0.9678
1968,6,1,5,83,-1.0802
1968,6,2,1,43,0.7198
1968,6,2,2,44,-2.2781
1968,6,2,3,33,3.2896
1968,6,2,4,56,-0.6059
1968,6,2,5,42,-2.7660
1968,6,3,1,95,1.6331
1968,6,3,2,74,0.0841
1968,6,3,3,67,2.0933
1968,6,3,4,72,-1.1796
1968,6,3,5,73,0.4146
1968,7,1,1,60,-0.9680
1968,7,1,2,95,-3.6077
1968,7,1,3,93,-3.9920
1968,7,1,4,121,-6.1029
1968,7,1,5,86,-2.6775
1968,7,2,1,43,-4.4319
1968,7,2,2,44,-4.1712
1968,7,2,3,39,-5.0225
1968,7,2,4,65,-5.4090
1968,7,2,5,44,-2.7520
1968,7,3,1,92,2.6557
1968,7,3,2,69,-5.0132
1968,7,3,3,81,-5.3074
1968,7,3,4,70,-4.2073
1968,7,3,5,79,-2.6314
1968,8,1,1,60,7.2724
1968,8,1,2,95,2.5800
1968,8,1,3,93,3.2359
1968,8,1,4,121,2.8495
1968,8,1,5,85,5.0620
1968,8,2,1,43,1.4220
1968,8,2,2,44,3.5848
1968,8,2,3,39,3.6610
1968,8,2,4,65,3.2085
1968,8,2,5,43,5.0293
1968,8,3,1,92,1.1064
1968,8,3,2,68,2.5995
1968,8,3,3,81,3.6383
1968,8,3,4,70,0.3743
1968,8,3,5,79,2.1631
1968,9,1,1,60,5.5242
1968,9,1,2,95,5.7702
1968,9,1,3,93,5.6098
1968,9,1,4,121,6.5713
1968,9,1,5,85,11.7220
1968,9,2,1,43,7.1717
1968,9,2,2,44,5.6982
1968,9,2,3,38,6.6514
1968,9,2,4,65,6.8280
1968,9,2,5,43,6.1917
1968,9,3,1,92,3.3232
1968,9,3,2,68,7.8668
1968,9,3,3,81,4.2169
1968,9,3,4,70,3.6342
1968,9,3,5,79,3.2452
1968,10,1,1,60,-0.4422
1968,10,1,2,95,2.7145
1968,10,1,3,93,-0.7020
1968,10,1,4,121,-0.8958
1968,10,1,5,84,-1.0469
1968,10,2,1,43,1.7988
1968,10,2,2,44,1.3024
1968,10,2,3,38,-0.2841
1968,10,2,4,65,-0.6502
1968,10,2,5,43,2.4515
1968,10,3,1,92,1.2780
1968,10,3,2,68,0.0814
1968,10,3,3,81,0.8493
1968,10,3,4,69,-1.2426
1968,10,3,5,79,1.8927
1968,11,1,1,60,5.6922
1968,11,1,2,95,5.9412
1968,11,1,3,93,10.7696
1968,11,1,4,121,7.0230
1968,11,1,5,83,4.4695
1968,11,2,1,43,8.1779
1968,11,2,2,44,6.3463
1968,11,2,3,39,6.5752
1968,11,2,4,65,9.3081
1968,11,2,5,43,6.5119
1968,11,3,1,92,6.5745
1968,11,3,2,68,3.3413
1968,11,3,3,81,4.9800
1968,11,3,4,69,4.2546
1968,11,3,5,79,5.8785
1968,12,1,1,60,2.5864
