year,month,rank_ME,rank_ALMq_6,nstocks,ret_vw
1976,12,1,5,555,10.1983
1976,12,2,1,102,9.3740
1976,12,2,2,151,10.2419
1976,12,2,3,161,9.1835
1976,12,2,4,180,8.1971
1976,12,2,5,144,9.2227
1976,12,3,1,246,3.5669
1976,12,3,2,196,6.6473
1976,12,3,3,166,7.5783
1976,12,3,4,122,8.4808
1976,12,3,5,53,7.3879
1977,1,1,1,72,0.2787
1977,1,1,2,175,4.9480
1977,1,1,3,263,4.7283
1977,1,1,4,363,4.8944
1977,1,1,5,532,4.8732
1977,1,2,1,95,-0.7797
1977,1,2,2,138,1.2689
1977,1,2,3,151,1.9540
1977,1,2,4,161,2.1206
1977,1,2,5,140,1.6816
1977,1,3,1,235,-7.6603
1977,1,3,2,186,-3.8195
1977,1,3,3,153,-0.5876
1977,1,3,4,105,-0.2348
1977,1,3,5,49,-0.4181
1977,2,1,1,78,-1.0265
1977,2,1,2,198,-2.3942
1977,2,1,3,297,-1.7729
1977,2,1,4,408,-1.1170
1977,2,1,5,562,-0.4971
1977,2,2,1,99,-2.2331
1977,2,2,2,152,-1.9006
1977,2,2,3,172,-1.0085
1977,2,2,4,183,0.2589
1977,2,2,5,153,1.2509
1977,2,3,1,251,-1.4318
1977,2,3,2,199,-1.7971
1977,2,3,3,164,-1.8843
1977,2,3,4,110,-2.2360
1977,2,3,5,51,0.1983
1977,3,1,1,78,-0.9990
1977,3,1,2,205,0.9651
1977,3,1,3,297,1.2372
1977,3,1,4,423,0.5069
1977,3,1,5,596,1.1295
1977,3,2,1,103,1.6870
1977,3,2,2,151,-0.6557
1977,3,2,3,174,-0.0685
1977,3,2,4,189,-0.8214
1977,3,2,5,153,-0.3184
1977,3,3,1,252,-1.4910
1977,3,3,2,201,-1.3501
1977,3,3,3,167,-1.1433
1977,3,3,4,107,0.0096
1977,3,3,5,50,-1.2157
1977,4,1,1,66,-0.2490
1977,4,1,2,185,0.6942
1977,4,1,3,254,1.0246
1977,4,1,4,356,1.4406
1977,4,1,5,540,1.7665
1977,4,2,1,93,-0.8065
1977,4,2,2,128,2.9329
1977,4,2,3,144,1.8020
1977,4,2,4,162,2.1532
1977,4,2,5,127,0.6964
1977,4,3,1,216,-2.8722
1977,4,3,2,165,2.2005
1977,4,3,3,132,2.0500
1977,4,3,4,69,1.2291
1977,4,3,5,33,3.4422
1977,5,1,1,79,-3.9286
1977,5,1,2,208,1.7264
1977,5,1,3,284,-0.9535
1977,5,1,4,397,-0.5204
1977,5,1,5,568,0.4780
1977,5,2,1,106,0.0630
1977,5,2,2,144,-1.1073
1977,5,2,3,164,1.2250
1977,5,2,4,176,0.3679
1977,5,2,5,134,-0.3722
1977,5,3,1,230,-2.4190
