year,month,rank_ME,rank_RER,nstocks,ret_vw
1971,6,2,1,34,-0.8301
1971,6,2,2,37,-2.4474
1971,6,2,3,39,-1.9109
1971,6,2,4,40,0.5130
1971,6,2,5,25,-1.8142
1971,6,3,1,59,-0.1803
1971,6,3,2,44,-1.4207
1971,6,3,3,41,2.0816
1971,6,3,4,47,1.0445
1971,6,3,5,53,0.9519
1971,7,1,1,122,-8.6031
1971,7,1,2,115,-5.3178
1971,7,1,3,78,-5.1241
1971,7,1,4,103,-5.5097
1971,7,1,5,126,-7.6558
1971,7,2,1,44,-5.1303
1971,7,2,2,42,-7.4125
1971,7,2,3,45,-4.3461
1971,7,2,4,52,-4.5292
1971,7,2,5,35,-4.5219
1971,7,3,1,71,-4.9761
1971,7,3,2,62,-3.0024
1971,7,3,3,58,-2.7627
1971,7,3,4,53,-4.5618
1971,7,3,5,62,-3.8478
1971,8,1,1,122,3.6664
1971,8,1,2,115,2.4892
1971,8,1,3,78,6.6007
1971,8,1,4,103,6.6175
1971,8,1,5,126,4.5834
1971,8,2,1,44,6.2903
1971,8,2,2,42,4.7493
1971,8,2,3,45,6.6490
1971,8,2,4,52,4.1554
1971,8,2,5,35,5.2613
1971,8,3,1,71,6.4682
1971,8,3,2,62,5.4689
1971,8,3,3,58,3.1358
1971,8,3,4,53,4.8450
1971,8,3,5,62,6.1228
1971,9,1,1,122,-0.9878
1971,9,1,2,115,-0.6680
1971,9,1,3,78,-2.1127
1971,9,1,4,103,1.1897
1971,9,1,5,126,0.3095
1971,9,2,1,44,-2.5184
1971,9,2,2,42,-2.1668
1971,9,2,3,45,1.3900
1971,9,2,4,52,0.9754
1971,9,2,5,35,2.0779
1971,9,3,1,71,-0.5926
1971,9,3,2,62,1.8894
1971,9,3,3,58,1.6179
1971,9,3,4,53,-0.2385
1971,9,3,5,62,1.3565
1971,10,1,1,122,-7.9237
1971,10,1,2,115,-6.1537
1971,10,1,3,78,-8.6365
1971,10,1,4,103,-5.3604
1971,10,1,5,126,-6.3349
1971,10,2,1,44,-5.0566
1971,10,2,2,42,-4.0902
1971,10,2,3,45,-7.5709
1971,10,2,4,52,-4.4792
1971,10,2,5,35,-4.5457
1971,10,3,1,71,-4.4775
1971,10,3,2,62,-3.4677
1971,10,3,3,58,-5.1562
1971,10,3,4,53,-4.7541
1971,10,3,5,62,-3.8592
1971,11,1,1,122,-4.7050
1971,11,1,2,115,-4.5825
1971,11,1,3,78,-6.3028
1971,11,1,4,103,-4.1917
1971,11,1,5,126,-4.0926
1971,11,2,1,44,-2.0505
1971,11,2,2,42,-2.5268
1971,11,2,3,45,-1.5210
1971,11,2,4,52,-3.9951
1971,11,2,5,35,-1.9526
1971,11,3,1,71,0.5464
1971,11,3,2,62,1.9861
1971,11,3,3,58,-0.6010
1971,11,3,4,53,-0.4976
1971,11,3,5,62,-0.3826
1971,12,1,1,122,13.3499
1971,12,1,2,115,13.7437
1971,12,1,3,78,14.2080
1971,12,1,4,103,11.9606
1971,12,1,5,126,12.7309
1971,12,2,1,44,13.5075
1971,12,2,2,42,13.6398
1971,12,2,3,45,11.9152
1971,12,2,4,52,12.7505
1971,12,2,5,35,13.8426
1971,12,3,1,71,8.9824
1971,12,3,2,62,8.8237
1971,12,3,3,58,8.8449
1971,12,3,4,53,11.0553
1971,12,3,5,62,9.0741
1972,1,1,1,122,13.7163
1972,1,1,2,114,14.4000
1972,1,1,3,78,12.2620
1972,1,1,4,103,12.8285
1972,1,1,5,126,12.6898
1972,1,2,1,44,5.7104
1972,1,2,2,42,8.6702
1972,1,2,3,45,8.6023
1972,1,2,4,52,7.1930
1972,1,2,5,35,5.6305
1972,1,3,1,71,4.0277
1972,1,3,2,62,1.4247
1972,1,3,3,58,3.3361
1972,1,3,4,53,3.7622
1972,1,3,5,62,1.7261
1972,2,1,1,122,4.5952
1972,2,1,2,114,3.8816
1972,2,1,3,78,5.1483
1972,2,1,4,103,2.9755
1972,2,1,5,126,3.8901
1972,2,2,1,44,3.8040
1972,2,2,2,42,1.9074
1972,2,2,3,45,3.3377
1972,2,2,4,52,3.2039
1972,2,2,5,35,3.3069
1972,2,3,1,71,2.1003
1972,2,3,2,62,6.4190
1972,2,3,3,58,5.4334
1972,2,3,4,53,4.7664
1972,2,3,5,62,7.3647
1972,3,1,1,122,-0.8303
1972,3,1,2,114,-0.7894
1972,3,1,3,78,-2.1154
1972,3,1,4,102,0.7618
1972,3,1,5,126,0.0994
1972,3,2,1,44,0.5382
1972,3,2,2,42,-1.0057
1972,3,2,3,45,0.9879
1972,3,2,4,52,0.6438
1972,3,2,5,35,2.9084
1972,3,3,1,71,2.7179
1972,3,3,2,62,2.3479
1972,3,3,3,58,0.7204
1972,3,3,4,53,1.9334
1972,3,3,5,62,1.8934
1972,4,1,1,122,-0.8122
1972,4,1,2,113,1.8890
1972,4,1,3,78,1.4905
1972,4,1,4,102,1.8373
1972,4,1,5,126,-2.3187
1972,4,2,1,44,1.8551
1972,4,2,2,42,3.3480
1972,4,2,3,45,-1.0102
1972,4,2,4,52,1.4746
1972,4,2,5,35,0.6932
1972,4,3,1,71,0.2575
1972,4,3,2,62,2.1915
1972,4,3,3,58,1.3980
1972,4,3,4,53,-0.3147
1972,4,3,5,62,-0.1764
1972,5,1,1,122,-2.5549
1972,5,1,2,113,-4.3792
1972,5,1,3,78,-1.8395
1972,5,1,4,102,-2.4503
1972,5,1,5,126,-0.6058
1972,5,2,1,44,-1.6684
1972,5,2,2,42,-3.0559
1972,5,2,3,45,-3.6612
1972,5,2,4,52,-2.1662
1972,5,2,5,35,-0.4359
1972,5,3,1,71,1.6789
1972,5,3,2,62,2.6152
1972,5,3,3,58,3.1352
1972,5,3,4,52,4.6759
1972,5,3,5,62,2.7571
1972,6,1,1,122,-5.0432
1972,6,1,2,113,-4.3450
1972,6,1,3,78,-6.0636
1972,6,1,4,102,-1.9503
1972,6,1,5,126,-3.3020
1972,6,2,1,44,-3.0506
1972,6,2,2,42,-5.3098
1972,6,2,3,45,-2.4728
1972,6,2,4,52,-4.2731
1972,6,2,5,35,-4.2978
1972,6,3,1,71,-1.9522
1972,6,3,2,62,0.3702
1972,6,3,3,58,-0.7924
