year,month,rank_ME,rank_EM,nstocks,ret_vw
1967,12,2,1,57,3.8602
1967,12,2,2,66,5.7459
1967,12,2,3,38,5.6445
1967,12,2,4,33,5.7627
1967,12,2,5,44,12.7157
1967,12,3,1,54,3.3165
1967,12,3,2,53,4.4527
1967,12,3,3,100,3.8280
1967,12,3,4,102,2.0190
1967,12,3,5,112,1.6643
1968,1,1,1,134,2.6085
1968,1,1,2,106,0.7142
1968,1,1,3,58,4.4320
1968,1,1,4,64,4.7907
1968,1,1,5,95,2.8304
1968,1,2,1,57,1.2915
1968,1,2,2,66,-0.1373
1968,1,2,3,38,0.2272
1968,1,2,4,33,-2.1883
1968,1,2,5,44,-3.1931
1968,1,3,1,54,-3.6194
1968,1,3,2,53,-3.8356
1968,1,3,3,100,-1.7115
1968,1,3,4,102,-4.0253
1968,1,3,5,112,-7.6223
1968,2,1,1,134,-2.9732
1968,2,1,2,106,-5.6333
1968,2,1,3,58,-7.7127
1968,2,1,4,64,-9.6805
1968,2,1,5,95,-11.0782
1968,2,2,1,57,-2.8123
1968,2,2,2,65,-3.6051
1968,2,2,3,38,-8.1646
1968,2,2,4,33,-4.2651
1968,2,2,5,44,-6.8021
1968,2,3,1,54,-2.9961
1968,2,3,2,53,-2.6761
1968,2,3,3,100,-3.2375
1968,2,3,4,102,-3.2730
1968,2,3,5,111,-3.2491
1968,3,1,1,134,-0.0591
1968,3,1,2,106,-0.4083
1968,3,1,3,59,-2.0888
1968,3,1,4,64,-0.9984
1968,3,1,5,95,-1.5045
1968,3,2,1,57,-2.2340
1968,3,2,2,65,-1.2063
1968,3,2,3,38,1.5469
1968,3,2,4,33,-1.5700
1968,3,2,5,44,-1.6817
1968,3,3,1,54,0.1060
1968,3,3,2,53,-1.5912
1968,3,3,3,100,0.2351
1968,3,3,4,102,0.7303
1968,3,3,5,111,2.9850
1968,4,1,1,134,15.7998
1968,4,1,2,106,15.7384
1968,4,1,3,59,16.4236
1968,4,1,4,64,22.0368
1968,4,1,5,95,21.7557
1968,4,2,1,57,10.6283
1968,4,2,2,65,12.7278
1968,4,2,3,38,14.8657
1968,4,2,4,33,17.8492
1968,4,2,5,44,15.9628
1968,4,3,1,54,10.0025
1968,4,3,2,53,8.9850
1968,4,3,3,100,6.9078
1968,4,3,4,102,8.3130
1968,4,3,5,111,10.9421
1968,5,1,1,134,10.9905
1968,5,1,2,106,11.4192
1968,5,1,3,59,10.1746
1968,5,1,4,64,11.1200
1968,5,1,5,95,11.8169
1968,5,2,1,56,4.9894
1968,5,2,2,65,7.0239
1968,5,2,3,38,9.6120
1968,5,2,4,33,8.0657
1968,5,2,5,44,10.4189
1968,5,3,1,54,2.5061
1968,5,3,2,53,0.5716
1968,5,3,3,100,0.7118
1968,5,3,4,102,0.7821
1968,5,3,5,111,3.3008
1968,6,1,1,134,1.6012
1968,6,1,2,106,-0.8794
1968,6,1,3,59,0.1116
1968,6,1,4,64,0.5736
1968,6,1,5,95,2.5938
1968,6,2,1,56,3.2407
1968,6,2,2,65,-0.6759
1968,6,2,3,38,-1.1408
1968,6,2,4,33,1.3247
1968,6,2,5,44,-3.2776
1968,6,3,1,54,-0.6742
1968,6,3,2,53,1.1967
1968,6,3,3,100,2.3331
1968,6,3,4,102,1.0459
1968,6,3,5,111,-0.9091
1968,7,1,1,128,-2.5929
1968,7,1,2,88,-2.7835
1968,7,1,3,71,-1.8900
1968,7,1,4,81,-5.6120
1968,7,1,5,136,-4.8558
1968,7,2,1,62,-1.5033
1968,7,2,2,42,-2.5661
1968,7,2,3,44,-3.8946
1968,7,2,4,47,-4.9729
1968,7,2,5,74,-5.4256
1968,7,3,1,50,3.8436
1968,7,3,2,86,-0.0290
1968,7,3,3,94,-1.8672
1968,7,3,4,98,-2.5678
1968,7,3,5,107,-5.9901
1968,8,1,1,128,4.9993
1968,8,1,2,88,3.6811
1968,8,1,3,71,5.3429
1968,8,1,4,81,4.8058
1968,8,1,5,136,4.7849
1968,8,2,1,62,5.2627
1968,8,2,2,42,6.8257
1968,8,2,3,44,3.2796
1968,8,2,4,47,4.3586
1968,8,2,5,74,2.3602
1968,8,3,1,50,1.8648
1968,8,3,2,86,1.5051
1968,8,3,3,94,3.3764
1968,8,3,4,97,1.3831
1968,8,3,5,107,0.6625
1968,9,1,1,128,5.8525
1968,9,1,2,88,6.6156
1968,9,1,3,71,10.5182
1968,9,1,4,81,8.5103
1968,9,1,5,136,6.5958
1968,9,2,1,62,6.8009
1968,9,2,2,41,6.0839
1968,9,2,3,44,7.2392
1968,9,2,4,47,6.8689
1968,9,2,5,74,8.6884
1968,9,3,1,50,4.7728
1968,9,3,2,86,4.7751
1968,9,3,3,94,6.2325
1968,9,3,4,97,4.7344
1968,9,3,5,107,2.3994
1968,10,1,1,128,0.7479
1968,10,1,2,88,3.4676
1968,10,1,3,71,0.0591
1968,10,1,4,81,-0.3977
1968,10,1,5,136,-2.2041
1968,10,2,1,62,3.6080
1968,10,2,2,41,0.9523
1968,10,2,3,44,0.3229
1968,10,2,4,47,1.0807
1968,10,2,5,74,-1.0408
1968,10,3,1,50,2.3906
1968,10,3,2,86,3.4057
1968,10,3,3,94,2.0760
1968,10,3,4,97,1.3782
1968,10,3,5,107,-2.9164
1968,11,1,1,128,6.5361
1968,11,1,2,88,6.3940
1968,11,1,3,71,9.7478
1968,11,1,4,81,7.8486
1968,11,1,5,136,7.4530
1968,11,2,1,62,7.7661
1968,11,2,2,42,6.3793
1968,11,2,3,44,7.3436
1968,11,2,4,47,8.7061
1968,11,2,5,74,9.2744
1968,11,3,1,50,5.0669
1968,11,3,2,86,3.2660
1968,11,3,3,94,5.0841
1968,11,3,4,97,5.9080
1968,11,3,5,107,6.9546
1968,12,1,1,128,1.0550
1968,12,1,2,88,-0.0416
1968,12,1,3,71,-0.7454
1968,12,1,4,81,1.3515
1968,12,1,5,136,5.5123
1968,12,2,1,62,-1.6633
1968,12,2,2,42,-0.1682
1968,12,2,3,44,-0.6181
1968,12,2,4,47,-0.5573
1968,12,2,5,74,-0.9757
1968,12,3,1,50,-3.3156
1968,12,3,2,86,-3.4260
1968,12,3,3,94,-3.3177
1968,12,3,4,97,-4.5442
1968,12,3,5,107,-5.0043
1969,1,1,1,128,-2.2806
1969,1,1,2,88,-1.8861
1969,1,1,3,71,-1.8936
1969,1,1,4,81,-2.2640
1969,1,1,5,136,-0.9212
1969,1,2,1,62,-0.5639
1969,1,2,2,42,-2.5500
1969,1,2,3,44,-1.8905
1969,1,2,4,47,-1.7115
1969,1,2,5,74,-1.0738
1969,1,3,1,50,-0.0286
1969,1,3,2,86,-0.0713
1969,1,3,3,94,-1.6708
1969,1,3,4,97,-1.1299
1969,1,3,5,107,-2.3672
1969,2,1,1,128,-7.9208
1969,2,1,2,88,-7.6995
1969,2,1,3,71,-10.8907
1969,2,1,4,81,-11.5645
1969,2,1,5,136,-11.6771
1969,2,2,1,62,-6.6901
1969,2,2,2,42,-6.7719
1969,2,2,3,44,-8.8614
1969,2,2,4,47,-8.9226
1969,2,2,5,74,-10.9262
1969,2,3,1,50,-4.7986
1969,2,3,2,86,-4.3816
1969,2,3,3,94,-5.0423
1969,2,3,4,97,-4.7336
1969,2,3,5,107,-4.0687
1969,3,1,1,128,2.4178
1969,3,1,2,88,0.7368
1969,3,1,3,71,2.8151
1969,3,1,4,81,3.0116
1969,3,1,5,136,4.2419
1969,3,2,1,62,3.0969
1969,3,2,2,42,3.4736
1969,3,2,3,44,2.6039
1969,3,2,4,47,2.5029
1969,3,2,5,73,5.4067
1969,3,3,1,50,5.0263
1969,3,3,2,86,3.1146
1969,3,3,3,94,2.5636
1969,3,3,4,97,3.6296
1969,3,3,5,107,4.4270
1969,4,1,1,128,-0.0634
1969,4,1,2,88,-1.1083
1969,4,1,3,71,-1.0582
1969,4,1,4,80,-0.0209
1969,4,1,5,135,0.7583
1969,4,2,1,62,-0.1941
1969,4,2,2,42,2.3914
1969,4,2,3,44,1.8419
1969,4,2,4,46,2.6785
1969,4,2,5,73,2.1802
1969,4,3,1,50,-0.3417
1969,4,3,2,84,2.1128
1969,4,3,3,94,1.9581
1969,4,3,4,97,1.6095
