year,month,rank_ME,rank_BM,nstocks,ret_vw
1967,12,2,1,49,11.1086
1967,12,2,2,44,4.3566
1967,12,2,3,62,6.5454
1967,12,2,4,59,5.0961
1967,12,2,5,62,6.4396
1967,12,3,1,159,1.7753
1967,12,3,2,129,3.0890
1967,12,3,3,102,2.3976
1967,12,3,4,86,5.6554
1967,12,3,5,41,3.6261
1968,1,1,1,79,3.8007
1968,1,1,2,76,2.1242
1968,1,1,3,84,3.3277
1968,1,1,4,123,1.1487
1968,1,1,5,204,3.7643
1968,1,2,1,49,-6.0111
1968,1,2,2,44,-0.8766
1968,1,2,3,62,-0.5308
1968,1,2,4,59,3.3410
1968,1,2,5,62,1.0143
1968,1,3,1,159,-7.0747
1968,1,3,2,129,-4.4794
1968,1,3,3,102,-0.3454
1968,1,3,4,86,-2.9980
1968,1,3,5,41,-2.0343
1968,2,1,1,79,-10.5336
1968,2,1,2,76,-7.0568
1968,2,1,3,84,-4.9026
1968,2,1,4,123,-6.5269
1968,2,1,5,204,-5.9910
1968,2,2,1,49,-7.1748
1968,2,2,2,44,-5.5305
1968,2,2,3,62,-4.6232
1968,2,2,4,57,-2.7821
1968,2,2,5,62,-3.3956
1968,2,3,1,158,-3.2980
1968,2,3,2,129,-3.1848
1968,2,3,3,102,-2.0092
1968,2,3,4,86,-3.3824
1968,2,3,5,41,-3.2846
1968,3,1,1,79,-1.3516
1968,3,1,2,76,-1.0624
1968,3,1,3,84,-1.5231
1968,3,1,4,123,-0.3534
1968,3,1,5,205,-0.8009
1968,3,2,1,49,-0.2331
1968,3,2,2,44,-1.4957
1968,3,2,3,62,-1.5561
1968,3,2,4,57,-1.4358
1968,3,2,5,62,-1.0797
1968,3,3,1,158,3.0195
1968,3,3,2,129,-1.2291
1968,3,3,3,102,-0.1241
1968,3,3,4,86,-1.9296
1968,3,3,5,41,0.0777
1968,4,1,1,79,23.3921
1968,4,1,2,76,17.3727
1968,4,1,3,84,15.5840
1968,4,1,4,123,17.0957
1968,4,1,5,205,16.7348
1968,4,2,1,49,16.9665
1968,4,2,2,44,13.6556
1968,4,2,3,62,13.8282
1968,4,2,4,57,11.1262
1968,4,2,5,62,10.8090
1968,4,3,1,158,11.4497
1968,4,3,2,129,7.7311
1968,4,3,3,102,3.8676
1968,4,3,4,86,8.7519
1968,4,3,5,41,11.9362
1968,5,1,1,79,9.2690
1968,5,1,2,76,12.6566
1968,5,1,3,84,11.8301
1968,5,1,4,123,11.0310
1968,5,1,5,204,10.9386
1968,5,2,1,49,10.9080
1968,5,2,2,44,6.7157
1968,5,2,3,62,8.3321
1968,5,2,4,56,5.7958
1968,5,2,5,62,6.4479
1968,5,3,1,158,2.6856
1968,5,3,2,129,1.6934
1968,5,3,3,102,-0.2751
1968,5,3,4,86,0.8343
1968,5,3,5,41,2.6532
1968,6,1,1,79,-0.9091
1968,6,1,2,76,-0.5156
1968,6,1,3,84,1.4365
1968,6,1,4,123,2.6399
1968,6,1,5,204,0.2364
1968,6,2,1,49,-2.1926
1968,6,2,2,44,-0.3114
1968,6,2,3,62,-0.0547
1968,6,2,4,56,2.2445
1968,6,2,5,62,0.5440
1968,6,3,1,158,-0.4103
1968,6,3,2,129,1.4580
1968,6,3,3,102,3.2931
1968,6,3,4,86,2.7392
1968,6,3,5,41,-1.3191
1968,7,1,1,162,-5.6730
1968,7,1,2,117,-4.8182
1968,7,1,3,95,-3.7827
1968,7,1,4,88,-1.9455
1968,7,1,5,152,-0.5341
1968,7,2,1,82,-7.0455
1968,7,2,2,64,-5.3259
1968,7,2,3,44,-2.9726
1968,7,2,4,55,0.0028
1968,7,2,5,66,-0.0354
1968,7,3,1,143,-5.6374
1968,7,3,2,109,-1.4458
1968,7,3,3,110,-1.0837
1968,7,3,4,104,2.0971
1968,7,3,5,52,0.5640
1968,8,1,1,161,4.2963
1968,8,1,2,117,6.2586
1968,8,1,3,95,3.7976
1968,8,1,4,88,4.0998
1968,8,1,5,152,4.7534
1968,8,2,1,82,3.6015
1968,8,2,2,64,2.8025
1968,8,2,3,44,3.6405
1968,8,2,4,54,1.3400
1968,8,2,5,66,6.1057
1968,8,3,1,143,0.9323
1968,8,3,2,109,1.1114
1968,8,3,3,109,1.3461
1968,8,3,4,104,1.9973
1968,8,3,5,52,2.2651
1968,9,1,1,161,6.5105
1968,9,1,2,117,9.1899
1968,9,1,3,95,6.6621
1968,9,1,4,88,6.2721
1968,9,1,5,152,7.3573
1968,9,2,1,82,8.6396
1968,9,2,2,64,6.2388
1968,9,2,3,43,6.7999
1968,9,2,4,54,4.3031
1968,9,2,5,66,6.7680
1968,9,3,1,143,2.1868
1968,9,3,2,109,5.8641
1968,9,3,3,109,3.7191
1968,9,3,4,104,3.6999
1968,9,3,5,52,7.8936
1968,10,1,1,160,-1.8763
1968,10,1,2,117,0.8021
1968,10,1,3,95,0.8794
1968,10,1,4,88,1.5634
1968,10,1,5,152,2.0658
1968,10,2,1,82,-1.0260
1968,10,2,2,64,1.6601
1968,10,2,3,43,1.2751
1968,10,2,4,54,2.3977
1968,10,2,5,66,1.0356
1968,10,3,1,143,-1.9035
1968,10,3,2,109,2.0105
1968,10,3,3,109,1.4147
1968,10,3,4,104,3.0509
1968,10,3,5,52,1.8109
1968,11,1,1,160,8.2534
1968,11,1,2,117,8.1613
1968,11,1,3,95,6.7120
1968,11,1,4,88,5.7938
1968,11,1,5,152,6.8296
1968,11,2,1,82,9.0224
1968,11,2,2,64,8.1116
1968,11,2,3,44,7.0771
1968,11,2,4,54,9.1630
1968,11,2,5,66,6.5981
1968,11,3,1,143,6.7545
1968,11,3,2,109,3.1206
1968,11,3,3,109,6.4122
1968,11,3,4,104,5.7046
1968,11,3,5,52,4.8834
1968,12,1,1,161,5.3933
1968,12,1,2,117,1.6501
1968,12,1,3,95,0.5917
1968,12,1,4,88,-0.2606
1968,12,1,5,152,1.0289
1968,12,2,1,82,-1.9105
1968,12,2,2,64,-0.3118
1968,12,2,3,44,-0.7470
1968,12,2,4,54,-1.6337
1968,12,2,5,66,-1.2722
1968,12,3,1,143,-5.1055
1968,12,3,2,109,-4.7583
1968,12,3,3,109,-1.8787
1968,12,3,4,104,-3.5133
1968,12,3,5,52,-2.4247
1969,1,1,1,161,-0.3268
1969,1,1,2,117,-2.6058
1969,1,1,3,95,-1.7156
1969,1,1,4,88,-1.1098
1969,1,1,5,152,-1.5565
1969,1,2,1,82,-3.5513
1969,1,2,2,64,-0.3579
1969,1,2,3,44,-2.6807
1969,1,2,4,54,1.7126
1969,1,2,5,66,-1.2533
1969,1,3,1,143,-2.3952
1969,1,3,2,109,-0.5067
1969,1,3,3,109,0.5998
1969,1,3,4,103,-0.1618
1969,1,3,5,52,0.3283
1969,2,1,1,161,-12.3210
1969,2,1,2,117,-11.1125
1969,2,1,3,94,-8.9781
1969,2,1,4,88,-8.0479
1969,2,1,5,152,-8.6198
1969,2,2,1,82,-10.0535
1969,2,2,2,64,-8.1708
1969,2,2,3,44,-7.3267
1969,2,2,4,54,-7.0732
1969,2,2,5,66,-7.1641
1969,2,3,1,143,-4.1772
1969,2,3,2,109,-3.8689
1969,2,3,3,109,-5.6395
1969,2,3,4,103,-4.7187
1969,2,3,5,52,-6.0003
1969,3,1,1,161,2.4197
1969,3,1,2,117,2.6353
1969,3,1,3,94,3.1346
1969,3,1,4,88,2.3319
1969,3,1,5,152,2.2368
1969,3,2,1,82,3.8322
1969,3,2,2,63,1.9197
1969,3,2,3,44,1.4160
1969,3,2,4,54,2.0482
1969,3,2,5,66,4.6052
1969,3,3,1,143,4.4636
1969,3,3,2,109,2.0165
1969,3,3,3,109,3.1361
1969,3,3,4,103,2.3988
1969,3,3,5,52,5.2075
1969,4,1,1,161,1.0519
1969,4,1,2,117,-1.1770
1969,4,1,3,94,0.3816
1969,4,1,4,88,0.3050
1969,4,1,5,150,-1.3072
1969,4,2,1,82,1.1674
1969,4,2,2,63,1.4676
1969,4,2,3,43,2.4809
1969,4,2,4,54,0.3451
1969,4,2,5,66,2.3836
1969,4,3,1,143,3.8233
1969,4,3,2,107,0.7475
1969,4,3,3,109,1.3836
1969,4,3,4,103,1.7584
1969,4,3,5,52,1.5870
1969,5,1,1,161,2.1263
1969,5,1,2,117,0.3664
1969,5,1,3,94,1.3209
1969,5,1,4,88,1.1055
1969,5,1,5,150,0.1526
1969,5,2,1,82,0.0252
1969,5,2,2,64,0.1751
1969,5,2,3,43,0.5786
1969,5,2,4,54,0.7288
1969,5,2,5,66,0.4807
1969,5,3,1,143,-0.4784
1969,5,3,2,107,0.3862
1969,5,3,3,109,-0.1005
1969,5,3,4,103,1.9788
1969,5,3,5,51,0.0430
1969,6,1,1,161,-15.4424
1969,6,1,2,117,-13.6478
1969,6,1,3,94,-12.9391
1969,6,1,4,88,-12.8033
1969,6,1,5,151,-12.3635
1969,6,2,1,82,-10.8806
1969,6,2,2,64,-11.1977
1969,6,2,3,44,-10.4816
1969,6,2,4,54,-9.3803
1969,6,2,5,66,-9.7194
1969,6,3,1,143,-2.2601
1969,6,3,2,108,-7.0681
1969,6,3,3,109,-7.6517
1969,6,3,4,103,-7.2932
1969,6,3,5,51,-8.4601
1969,7,1,1,211,-13.2849
1969,7,1,2,155,-11.2950
1969,7,1,3,108,-11.2392
1969,7,1,4,94,-10.3501
1969,7,1,5,125,-8.2684
1969,7,2,1,100,-10.4029
1969,7,2,2,73,-9.5807
1969,7,2,3,60,-8.8155
1969,7,2,4,51,-6.0078
1969,7,2,5,56,-7.1899
1969,7,3,1,137,-4.3564
1969,7,3,2,104,-5.8856
1969,7,3,3,112,-6.3455
1969,7,3,4,107,-7.7371
1969,7,3,5,85,-6.1741
1969,8,1,1,211,5.0286
1969,8,1,2,155,4.9661
1969,8,1,3,108,4.6178
1969,8,1,4,94,2.8418
1969,8,1,5,125,2.4072
1969,8,2,1,100,6.9882
1969,8,2,2,73,8.6732
1969,8,2,3,60,5.2372
1969,8,2,4,51,2.4066
1969,8,2,5,56,3.1316
1969,8,3,1,137,7.5576
1969,8,3,2,104,4.6434
1969,8,3,3,112,3.5238
1969,8,3,4,107,3.2497
1969,8,3,5,85,2.7735
1969,9,1,1,211,-2.6155
1969,9,1,2,155,-4.8446
1969,9,1,3,108,-4.0548
1969,9,1,4,94,-3.5130
1969,9,1,5,126,-2.4990
1969,9,2,1,100,1.3184
1969,9,2,2,72,0.3939
1969,9,2,3,60,-2.3776
1969,9,2,4,51,-1.0087
1969,9,2,5,56,-2.3644
1969,9,3,1,137,-0.6341
1969,9,3,2,104,-0.8433
1969,9,3,3,111,-2.8455
1969,9,3,4,107,-4.8754
1969,9,3,5,85,-5.0798
1969,10,1,1,211,13.4497
1969,10,1,2,154,13.2265
1969,10,1,3,108,9.6057
1969,10,1,4,94,8.9007
1969,10,1,5,126,6.1297
1969,10,2,1,99,11.1301
1969,10,2,2,72,5.3330
1969,10,2,3,60,7.5087
1969,10,2,4,51,7.4035
1969,10,2,5,56,7.6492
1969,10,3,1,137,6.4224
1969,10,3,2,104,5.5797
1969,10,3,3,111,5.1080
1969,10,3,4,107,2.8442
1969,10,3,5,85,3.8204
1969,11,1,1,211,-8.5763
1969,11,1,2,154,-7.1661
1969,11,1,3,108,-6.0586
1969,11,1,4,94,-6.2842
1969,11,1,5,126,-6.5169
1969,11,2,1,98,-4.6800
1969,11,2,2,72,-4.7621
1969,11,2,3,60,-3.9583
1969,11,2,4,51,-4.2063
1969,11,2,5,56,-5.6939
1969,11,3,1,137,-1.4105
1969,11,3,2,104,-3.4957
1969,11,3,3,112,-4.0661
1969,11,3,4,107,-3.8830
1969,11,3,5,85,-2.8654
1969,12,1,1,211,-8.6915
1969,12,1,2,155,-7.4513
1969,12,1,3,108,-5.6135
1969,12,1,4,94,-8.9840
1969,12,1,5,126,-7.7261
1969,12,2,1,98,-3.7520
1969,12,2,2,72,-3.5231
1969,12,2,3,60,-6.0980
1969,12,2,4,51,-4.9003
1969,12,2,5,56,-4.2477
1969,12,3,1,137,0.9725
1969,12,3,2,104,-2.3498
1969,12,3,3,112,-1.5739
1969,12,3,4,107,-1.7704
1969,12,3,5,85,-4.7142
1970,1,1,1,211,-4.9992
1970,1,1,2,155,-4.3778
1970,1,1,3,108,-3.8050
1970,1,1,4,94,-2.6860
1970,1,1,5,126,-0.0363
1970,1,2,1,97,-6.9278
1970,1,2,2,72,-7.5779
1970,1,2,3,60,-3.8614
1970,1,2,4,51,-4.1862
1970,1,2,5,56,-2.1603
1970,1,3,1,136,-8.4940
1970,1,3,2,104,-6.9099
1970,1,3,3,112,-8.5683
1970,1,3,4,107,-8.6025
1970,1,3,5,85,-5.6409
1970,2,1,1,211,2.2845
1970,2,1,2,155,3.0356
1970,2,1,3,108,4.1773
1970,2,1,4,94,2.5796
1970,2,1,5,126,3.6440
1970,2,2,1,96,4.0354
1970,2,2,2,72,1.9394
1970,2,2,3,60,3.9313
1970,2,2,4,51,6.1223
1970,2,2,5,56,7.0198
1970,2,3,1,136,3.4394
1970,2,3,2,104,5.2622
1970,2,3,3,112,8.2217
1970,2,3,4,107,6.8204
1970,2,3,5,85,7.9721
1970,3,1,1,211,-6.2697
1970,3,1,2,155,-4.8388
1970,3,1,3,108,-3.5169
1970,3,1,4,94,0.9307
1970,3,1,5,126,-1.3169
1970,3,2,1,99,-6.0648
1970,3,2,2,72,-1.7549
1970,3,2,3,60,-0.0813
1970,3,2,4,51,0.3840
1970,3,2,5,56,1.8656
1970,3,3,1,137,-2.8739
1970,3,3,2,104,0.2848
1970,3,3,3,112,2.6361
1970,3,3,4,107,1.3874
1970,3,3,5,85,1.3442
1970,4,1,1,209,-23.9070
1970,4,1,2,155,-18.9572
1970,4,1,3,108,-14.7811
1970,4,1,4,94,-12.9523
