year,month,rank_ME,rank_VFP,nstocks,ret_vw
1977,6,1,3,4,3.4828
1977,6,1,4,1,-4.5872
1977,6,1,5,6,9.0016
1977,6,2,1,2,15.1465
1977,6,2,2,12,7.2913
1977,6,2,3,7,10.7116
1977,6,2,4,9,4.7258
1977,6,2,5,22,4.0421
1977,6,3,1,67,7.4548
1977,6,3,2,61,4.6755
1977,6,3,3,64,2.0521
1977,6,3,4,59,3.3634
1977,6,3,5,47,3.3392
1977,7,1,1,2,-2.2138
1977,7,1,2,1,-11.4583
1977,7,1,3,1,4.8387
1977,7,1,4,7,1.4529
1977,7,1,5,9,1.6647
1977,7,2,1,9,-1.8154
1977,7,2,2,12,-3.6542
1977,7,2,3,12,-0.8054
1977,7,2,4,23,-1.6201
1977,7,2,5,30,0.0204
1977,7,3,1,81,-1.4124
1977,7,3,2,80,-1.9917
1977,7,3,3,75,-2.2786
1977,7,3,4,67,-2.7285
1977,7,3,5,52,-4.5383
1977,8,1,1,2,0.2967
1977,8,1,2,1,12.9412
1977,8,1,3,1,5.2308
1977,8,1,4,7,3.9756
1977,8,1,5,9,2.4182
1977,8,2,1,9,-1.7117
1977,8,2,2,12,-2.1078
1977,8,2,3,12,1.0999
1977,8,2,4,23,-1.8440
1977,8,2,5,30,-1.7319
1977,8,3,1,81,1.5393
1977,8,3,2,80,0.2110
1977,8,3,3,75,-3.2586
1977,8,3,4,67,-3.6951
1977,8,3,5,52,-2.2922
1977,9,1,1,2,3.2188
1977,9,1,2,1,5.2083
1977,9,1,3,1,-3.7037
1977,9,1,4,7,-0.0718
1977,9,1,5,9,4.0733
1977,9,2,1,9,5.9109
1977,9,2,2,12,-1.1431
1977,9,2,3,12,-1.7203
1977,9,2,4,23,5.4074
1977,9,2,5,30,-0.4519
1977,9,3,1,81,-1.8017
1977,9,3,2,80,0.1975
1977,9,3,3,75,0.4329
1977,9,3,4,67,-1.1557
1977,9,3,5,52,0.7623
1977,10,1,1,2,9.5908
1977,10,1,2,1,37.6238
1977,10,1,3,1,10.7692
1977,10,1,4,7,-0.1921
1977,10,1,5,9,-5.7204
1977,10,2,1,9,14.2919
1977,10,2,2,12,-1.7113
1977,10,2,3,12,-6.1412
1977,10,2,4,23,-3.7155
1977,10,2,5,30,-3.9942
1977,10,3,1,81,-4.3807
1977,10,3,2,80,-5.4675
1977,10,3,3,74,-4.4370
1977,10,3,4,67,-2.9500
1977,10,3,5,52,-3.1148
1977,11,1,1,2,5.7723
1977,11,1,2,1,5.7554
1977,11,1,3,1,22.2222
1977,11,1,4,7,10.8159
1977,11,1,5,9,15.8345
1977,11,2,1,9,7.2099
1977,11,2,2,12,9.9115
1977,11,2,3,12,6.3458
1977,11,2,4,23,12.2335
1977,11,2,5,30,7.6178
1977,11,3,1,81,4.3981
1977,11,3,2,80,3.7879
1977,11,3,3,74,3.8281
1977,11,3,4,67,3.6519
1977,11,3,5,52,2.5274
1977,12,1,1,2,2.5065
1977,12,1,2,1,2.0408
1977,12,1,3,1,11.4943
1977,12,1,4,7,9.5909
1977,12,1,5,9,-4.9330
1977,12,2,1,9,2.7545
1977,12,2,2,12,-1.0187
1977,12,2,3,12,1.0645
1977,12,2,4,23,3.6862
1977,12,2,5,30,-0.8866
1977,12,3,1,81,-0.0599
1977,12,3,2,80,0.0196
1977,12,3,3,75,0.0561
1977,12,3,4,67,0.9959
1977,12,3,5,52,0.3933
1978,1,1,1,2,-17.7687
1978,1,1,2,1,-3.1201
1978,1,1,3,1,-12.8866
1978,1,1,4,6,-6.0002
1978,1,1,5,9,-5.8502
1978,1,2,1,9,-4.4636
1978,1,2,2,12,-5.4227
1978,1,2,3,12,-4.2868
1978,1,2,4,23,-7.8249
1978,1,2,5,30,-5.5137
1978,1,3,1,81,-5.6421
1978,1,3,2,80,-5.8023
1978,1,3,3,75,-5.5594
1978,1,3,4,67,-6.1575
1978,1,3,5,52,-6.8651
1978,2,1,1,2,8.1036
1978,2,1,2,0,
1978,2,1,3,1,-4.7337
1978,2,1,4,6,-0.0227
1978,2,1,5,9,5.3316
1978,2,2,1,8,-0.8615
1978,2,2,2,12,2.3362
1978,2,2,3,12,1.1513
1978,2,2,4,23,4.4838
1978,2,2,5,30,-1.3970
1978,2,3,1,81,-3.1699
1978,2,3,2,80,-2.6629
1978,2,3,3,74,-1.9242
1978,2,3,4,67,-1.0062
1978,2,3,5,52,-0.7133
1978,3,1,1,2,7.6453
1978,3,1,2,0,
1978,3,1,3,1,15.7233
1978,3,1,4,7,9.3610
1978,3,1,5,9,10.0269
1978,3,2,1,8,8.9273
1978,3,2,2,12,9.2962
1978,3,2,3,12,8.7125
1978,3,2,4,23,8.9339
1978,3,2,5,30,4.2661
1978,3,3,1,81,3.1723
1978,3,3,2,80,2.7438
1978,3,3,3,74,3.2355
1978,3,3,4,67,2.7491
1978,3,3,5,52,4.9912
1978,4,1,1,2,10.7298
1978,4,1,2,0,
1978,4,1,3,1,7.6087
1978,4,1,4,7,8.3500
1978,4,1,5,9,5.7691
1978,4,2,1,8,4.0147
1978,4,2,2,12,8.5881
1978,4,2,3,12,8.3641
1978,4,2,4,23,9.5353
1978,4,2,5,30,10.0330
1978,4,3,1,81,10.9598
1978,4,3,2,80,8.4323
1978,4,3,3,74,6.8353
1978,4,3,4,67,9.0516
1978,4,3,5,52,8.4084
