year,month,rank_ME,rank_Dur,nstocks,ret_vw
1967,12,2,1,42,5.5954
1967,12,2,2,27,5.2801
1967,12,2,3,28,7.5813
1967,12,2,4,16,8.8196
1967,12,2,5,12,9.8180
1967,12,3,1,32,3.3362
1967,12,3,2,56,5.8255
1967,12,3,3,72,2.6687
1967,12,3,4,90,3.4156
1967,12,3,5,93,1.3953
1968,1,1,1,66,2.4722
1968,1,1,2,47,3.8130
1968,1,1,3,20,6.9207
1968,1,1,4,13,2.5988
1968,1,1,5,18,3.1897
1968,1,2,1,42,1.4277
1968,1,2,2,27,1.1905
1968,1,2,3,28,2.5359
1968,1,2,4,16,-3.0992
1968,1,2,5,12,-3.3787
1968,1,3,1,32,-2.1785
1968,1,3,2,56,-1.3009
1968,1,3,3,72,-1.9978
1968,1,3,4,90,-5.3632
1968,1,3,5,93,-6.5026
1968,2,1,1,66,-5.5548
1968,2,1,2,47,-5.4144
1968,2,1,3,20,-8.5021
1968,2,1,4,13,-8.8361
1968,2,1,5,18,-8.6152
1968,2,2,1,41,-3.4389
1968,2,2,2,27,-5.1537
1968,2,2,3,28,-4.0862
1968,2,2,4,16,-2.6294
1968,2,2,5,12,0.2063
1968,2,3,1,32,-4.0469
1968,2,3,2,56,-4.1751
1968,2,3,3,72,-1.7514
1968,2,3,4,89,-2.8619
1968,2,3,5,93,-2.6339
1968,3,1,1,67,-2.8159
1968,3,1,2,47,0.5498
1968,3,1,3,20,-1.4698
1968,3,1,4,13,-5.6103
1968,3,1,5,18,-3.0181
1968,3,2,1,41,-0.7191
1968,3,2,2,27,-1.4801
1968,3,2,3,28,-1.9583
1968,3,2,4,16,-4.6636
1968,3,2,5,12,-0.1820
1968,3,3,1,32,-2.1569
1968,3,3,2,56,0.5326
1968,3,3,3,72,-0.8752
1968,3,3,4,89,-2.4451
1968,3,3,5,93,2.4760
1968,4,1,1,67,16.0376
1968,4,1,2,47,20.4637
1968,4,1,3,20,8.6653
1968,4,1,4,13,18.4283
1968,4,1,5,18,24.5166
1968,4,2,1,41,12.3485
1968,4,2,2,27,14.2574
1968,4,2,3,28,10.7612
