year,month,rank_ME,rank_DP,nstocks,ret_vw
1967,12,2,1,67,8.3204
1967,12,2,2,77,7.3744
1967,12,2,3,66,4.4471
1967,12,2,4,61,5.7786
1967,12,2,5,64,4.0482
1967,12,3,1,145,2.2387
1967,12,3,2,108,2.8114
1967,12,3,3,109,2.9425
1967,12,3,4,101,3.5216
1967,12,3,5,87,2.2455
1968,1,1,1,103,-0.6764
1968,1,1,2,99,2.3623
1968,1,1,3,76,4.9641
1968,1,1,4,73,1.8039
1968,1,1,5,121,7.0748
1968,1,2,1,67,-4.2233
1968,1,2,2,76,-1.5724
1968,1,2,3,66,-0.2634
1968,1,2,4,61,2.1519
1968,1,2,5,64,4.4554
1968,1,3,1,143,-8.4393
1968,1,3,2,108,-4.1177
1968,1,3,3,108,-1.8697
1968,1,3,4,101,-0.9247
1968,1,3,5,87,-0.4225
1968,2,1,1,100,-8.2874
1968,2,1,2,99,-5.6996
1968,2,1,3,74,-5.9807
1968,2,1,4,73,-1.2244
1968,2,1,5,120,-2.0079
1968,2,2,1,67,-7.3352
1968,2,2,2,76,-4.2050
1968,2,2,3,60,-2.6207
1968,2,2,4,59,-1.0555
1968,2,2,5,63,-0.8765
1968,2,3,1,143,-3.9319
1968,2,3,2,108,-3.8016
1968,2,3,3,107,-2.3256
1968,2,3,4,101,-1.9282
1968,2,3,5,86,-1.5282
1968,3,1,1,101,-0.3890
1968,3,1,2,99,-0.3311
1968,3,1,3,75,-1.0218
1968,3,1,4,73,0.1754
1968,3,1,5,122,-0.8473
1968,3,2,1,67,-2.2471
1968,3,2,2,75,-2.1903
1968,3,2,3,58,0.4431
1968,3,2,4,59,-0.9093
1968,3,2,5,63,-0.8627
1968,3,3,1,142,3.7059
1968,3,3,2,108,2.3410
1968,3,3,3,107,-1.8875
1968,3,3,4,100,-1.0453
1968,3,3,5,86,-0.6527
1968,4,1,1,100,20.8818
1968,4,1,2,98,18.5535
1968,4,1,3,74,13.1311
1968,4,1,4,73,13.2616
1968,4,1,5,122,12.6993
1968,4,2,1,67,18.5327
1968,4,2,2,75,14.2207
1968,4,2,3,58,10.7397
1968,4,2,4,59,8.8347
1968,4,2,5,63,9.1484
1968,4,3,1,142,12.0811
1968,4,3,2,108,10.5243
1968,4,3,3,107,5.3178
1968,4,3,4,100,6.5345
1968,4,3,5,86,5.9785
1968,5,1,1,100,8.6703
1968,5,1,2,98,16.1883
1968,5,1,3,74,8.4215
1968,5,1,4,72,8.8280
1968,5,1,5,121,8.9666
1968,5,2,1,67,9.6781
1968,5,2,2,75,7.4776
1968,5,2,3,58,5.6681
1968,5,2,4,58,5.2827
1968,5,2,5,62,3.6619
1968,5,3,1,142,4.1755
1968,5,3,2,105,1.0895
1968,5,3,3,107,0.3463
1968,5,3,4,99,1.0584
1968,5,3,5,86,0.2359
1968,6,1,1,99,-0.0816
1968,6,1,2,97,-0.7068
1968,6,1,3,74,2.0214
1968,6,1,4,72,1.9715
1968,6,1,5,121,3.0760
1968,6,2,1,67,-1.5373
1968,6,2,2,75,0.4950
1968,6,2,3,57,1.7524
1968,6,2,4,55,1.7613
1968,6,2,5,62,3.3497
1968,6,3,1,142,-0.8254
1968,6,3,2,105,0.1899
1968,6,3,3,107,2.8046
1968,6,3,4,99,3.5777
1968,6,3,5,86,2.0491
1968,7,1,1,137,-3.9821
1968,7,1,2,115,-2.7191
1968,7,1,3,92,-4.7810
1968,7,1,4,80,-2.7255
1968,7,1,5,60,0.6569
1968,7,2,1,86,-4.9730
1968,7,2,2,68,-5.6808
1968,7,2,3,66,-1.8374
1968,7,2,4,58,-0.6117
1968,7,2,5,59,-0.0414
1968,7,3,1,124,-5.5100
1968,7,3,2,111,-3.7428
1968,7,3,3,93,-1.9686
1968,7,3,4,106,0.3137
1968,7,3,5,113,1.2440
1968,8,1,1,135,6.0047
1968,8,1,2,113,4.5866
1968,8,1,3,90,4.4663
1968,8,1,4,79,3.7537
1968,8,1,5,60,1.6919
1968,8,2,1,83,4.9324
1968,8,2,2,67,3.8062
1968,8,2,3,65,4.9242
1968,8,2,4,58,3.8862
1968,8,2,5,59,1.2475
1968,8,3,1,122,1.4438
1968,8,3,2,109,1.1246
1968,8,3,3,93,1.7827
1968,8,3,4,106,1.9140
1968,8,3,5,113,1.2841
1968,9,1,1,135,6.2788
1968,9,1,2,113,7.3843
1968,9,1,3,88,3.8911
1968,9,1,4,79,5.2798
1968,9,1,5,60,4.7670
1968,9,2,1,83,7.8159
1968,9,2,2,67,6.1014
1968,9,2,3,63,5.9792
1968,9,2,4,58,7.3781
1968,9,2,5,59,4.1874
1968,9,3,1,122,1.8033
1968,9,3,2,109,5.4557
1968,9,3,3,93,4.7662
1968,9,3,4,106,5.1684
1968,9,3,5,113,3.3507
1968,10,1,1,134,-0.3297
1968,10,1,2,113,1.4024
1968,10,1,3,86,2.9769
1968,10,1,4,77,2.2294
1968,10,1,5,60,3.4005
1968,10,2,1,83,0.1550
1968,10,2,2,66,2.3176
1968,10,2,3,63,1.9054
1968,10,2,4,57,2.0418
1968,10,2,5,59,3.0158
1968,10,3,1,121,-2.7789
1968,10,3,2,107,-0.2390
1968,10,3,3,93,2.0620
1968,10,3,4,105,2.3813
1968,10,3,5,113,3.4791
1968,11,1,1,133,8.1877
1968,11,1,2,111,7.7564
1968,11,1,3,86,6.0110
1968,11,1,4,77,5.1664
1968,11,1,5,60,4.3361
1968,11,2,1,81,7.4798
1968,11,2,2,66,9.2073
1968,11,2,3,62,7.0690
1968,11,2,4,57,7.5590
1968,11,2,5,59,7.0625
1968,11,3,1,121,7.4083
1968,11,3,2,107,5.3046
1968,11,3,3,91,4.7785
1968,11,3,4,105,6.7446
1968,11,3,5,113,3.5410
1968,12,1,1,131,1.2284
1968,12,1,2,110,0.7412
1968,12,1,3,86,-0.2101
1968,12,1,4,78,1.0705
1968,12,1,5,60,1.2365
1968,12,2,1,81,-3.0441
1968,12,2,2,65,-1.0512
1968,12,2,3,60,-1.7366
1968,12,2,4,57,-1.1898
1968,12,2,5,59,1.0636
1968,12,3,1,121,-5.2466
1968,12,3,2,107,-3.9661
1968,12,3,3,91,-3.6479
1968,12,3,4,104,-2.4500
1968,12,3,5,113,-3.6988
1969,1,1,1,131,-1.8243
1969,1,1,2,110,-1.0325
