year,month,rank_ME,rank_IR,nstocks,ret_vw
1967,12,2,1,33,10.1934
1967,12,2,2,22,2.7666
1967,12,2,3,21,7.7958
1967,12,2,4,15,7.4452
1967,12,2,5,11,3.3168
1967,12,3,1,39,5.1523
1967,12,3,2,63,4.0275
1967,12,3,3,64,3.6702
1967,12,3,4,78,2.8132
1967,12,3,5,83,0.9229
1968,1,1,1,30,2.8612
1968,1,1,2,15,3.0285
1968,1,1,3,16,-0.7791
1968,1,1,4,7,1.1412
1968,1,1,5,6,8.9108
1968,1,2,1,33,2.0236
1968,1,2,2,22,2.6009
1968,1,2,3,21,1.0344
1968,1,2,4,15,-0.2877
1968,1,2,5,11,-2.1679
1968,1,3,1,39,-3.2767
1968,1,3,2,63,-0.4510
1968,1,3,3,64,-4.8098
1968,1,3,4,78,-3.0558
1968,1,3,5,83,-7.1896
1968,2,1,1,30,-5.5986
1968,2,1,2,15,-7.4714
1968,2,1,3,16,-6.2751
1968,2,1,4,7,-8.0974
1968,2,1,5,6,-6.1498
1968,2,2,1,33,-3.5679
1968,2,2,2,22,-3.1200
1968,2,2,3,21,-1.3543
1968,2,2,4,15,-1.8079
1968,2,2,5,11,-5.2583
1968,2,3,1,39,-2.7459
1968,2,3,2,63,-3.2815
1968,2,3,3,64,-1.4011
1968,2,3,4,78,-2.2630
1968,2,3,5,82,-3.7831
1968,3,1,1,30,-0.0049
1968,3,1,2,15,-1.7145
1968,3,1,3,16,-1.3416
1968,3,1,4,7,-4.8758
1968,3,1,5,6,2.4287
1968,3,2,1,33,1.0286
1968,3,2,2,22,-3.1227
1968,3,2,3,21,-0.8325
1968,3,2,4,15,-5.7394
1968,3,2,5,11,-2.1760
1968,3,3,1,39,-1.3382
1968,3,3,2,63,-1.9871
1968,3,3,3,64,-0.5685
1968,3,3,4,78,1.2894
1968,3,3,5,82,1.5192
1968,4,1,1,30,20.4998
1968,4,1,2,15,15.5628
1968,4,1,3,16,8.8062
1968,4,1,4,7,8.8815
1968,4,1,5,6,9.7226
1968,4,2,1,33,13.7552
1968,4,2,2,22,8.0330
1968,4,2,3,21,11.1365
1968,4,2,4,15,13.8496
1968,4,2,5,11,10.6251
1968,4,3,1,39,10.6414
1968,4,3,2,63,4.4233
1968,4,3,3,64,8.0387
1968,4,3,4,78,7.7059
1968,4,3,5,82,10.8320
1968,5,1,1,30,13.7222
1968,5,1,2,15,12.3034
1968,5,1,3,16,9.0181
1968,5,1,4,7,0.7068
1968,5,1,5,6,3.6423
1968,5,2,1,33,7.7003
1968,5,2,2,22,4.4186
1968,5,2,3,21,5.5241
1968,5,2,4,14,7.1336
1968,5,2,5,11,6.2641
1968,5,3,1,39,2.9081
1968,5,3,2,63,-0.1523
1968,5,3,3,64,-0.4495
1968,5,3,4,78,1.5837
1968,5,3,5,82,0.7403
1968,6,1,1,30,0.4340
1968,6,1,2,15,3.2190
1968,6,1,3,16,4.2612
1968,6,1,4,7,0.8492
1968,6,1,5,6,3.2496
1968,6,2,1,33,0.3471
1968,6,2,2,22,0.4823
1968,6,2,3,21,0.4219
1968,6,2,4,14,1.7388
1968,6,2,5,11,4.8114
1968,6,3,1,39,-0.1445
1968,6,3,2,63,3.2522
1968,6,3,3,64,2.4813
1968,6,3,4,78,1.0106
1968,6,3,5,82,0.0647
1968,7,1,1,42,2.0601
1968,7,1,2,33,-3.5916
1968,7,1,3,29,-2.4692
1968,7,1,4,43,-3.5700
1968,7,1,5,32,-6.0536
1968,7,2,1,43,0.2430
1968,7,2,2,31,-0.7483
1968,7,2,3,37,-2.6434
1968,7,2,4,23,-3.5489
1968,7,2,5,35,-6.9911
1968,7,3,1,64,0.3694
1968,7,3,2,87,2.6325
1968,7,3,3,83,0.0385
1968,7,3,4,96,-4.2203
1968,7,3,5,90,-5.2703
1968,8,1,1,42,5.4355
1968,8,1,2,33,2.9433
1968,8,1,3,29,4.3692
1968,8,1,4,43,2.5672
1968,8,1,5,32,-0.8814
1968,8,2,1,43,3.2509
1968,8,2,2,31,5.1179
1968,8,2,3,37,4.5274
1968,8,2,4,23,3.8251
1968,8,2,5,35,3.0544
1968,8,3,1,64,2.4174
1968,8,3,2,87,1.3419
1968,8,3,3,83,0.8381
1968,8,3,4,95,1.6870
1968,8,3,5,90,1.0020
1968,9,1,1,42,7.7674
1968,9,1,2,33,5.6315
1968,9,1,3,29,7.0455
1968,9,1,4,43,7.7038
1968,9,1,5,32,5.2102
1968,9,2,1,43,3.9492
1968,9,2,2,31,6.3849
1968,9,2,3,36,5.9499
1968,9,2,4,23,8.8105
