year,month,rank_ME,rank_CPq_6,nstocks,ret_vw
1967,1,1,1,21,19.5927
1967,1,1,2,9,10.5350
1967,1,1,3,17,12.1674
1967,1,1,4,34,21.1115
1967,1,1,5,71,19.7441
1967,1,2,1,9,8.9891
1967,1,2,2,14,11.3080
1967,1,2,3,21,16.9735
1967,1,2,4,22,17.3819
1967,1,2,5,38,18.4309
1967,1,3,1,77,4.9990
1967,1,3,2,72,4.6857
1967,1,3,3,53,10.0324
1967,1,3,4,52,9.1365
1967,1,3,5,25,16.9085
1967,2,1,1,35,3.4398
1967,2,1,2,15,3.8587
1967,2,1,3,27,1.6027
1967,2,1,4,52,2.1116
1967,2,1,5,91,1.5965
1967,2,2,1,15,2.3201
1967,2,2,2,24,-0.6213
1967,2,2,3,36,1.7780
1967,2,2,4,35,1.3991
1967,2,2,5,52,1.6484
1967,2,3,1,98,2.2372
1967,2,3,2,108,-1.5599
1967,2,3,3,88,-1.5649
1967,2,3,4,79,-0.7211
1967,2,3,5,41,-0.7885
1967,3,1,1,36,11.0017
1967,3,1,2,17,5.5475
1967,3,1,3,32,6.5580
1967,3,1,4,62,5.5951
1967,3,1,5,106,6.8143
1967,3,2,1,19,4.6570
1967,3,2,2,24,4.7938
1967,3,2,3,40,6.1759
1967,3,2,4,40,8.5360
1967,3,2,5,63,6.8044
1967,3,3,1,101,4.1459
1967,3,3,2,114,4.0459
1967,3,3,3,96,4.1476
1967,3,3,4,85,4.3945
1967,3,3,5,49,5.6018
1967,4,1,1,37,3.6439
1967,4,1,2,21,1.9232
1967,4,1,3,35,3.0979
1967,4,1,4,66,3.4034
1967,4,1,5,119,4.6809
1967,4,2,1,22,1.1446
1967,4,2,2,25,3.9497
1967,4,2,3,46,4.2202
1967,4,2,4,44,3.4907
1967,4,2,5,67,5.3898
1967,4,3,1,104,4.3954
1967,4,3,2,121,3.2283
1967,4,3,3,102,2.4137
1967,4,3,4,91,5.0732
1967,4,3,5,53,3.1618
1967,5,1,1,71,1.6681
1967,5,1,2,52,2.1434
1967,5,1,3,87,-0.2219
1967,5,1,4,135,-0.3645
1967,5,1,5,226,-0.7684
1967,5,2,1,43,0.7349
1967,5,2,2,50,-2.6135
1967,5,2,3,80,-3.2147
1967,5,2,4,83,-1.5856
1967,5,2,5,111,-1.4452
1967,5,3,1,158,-5.4896
1967,5,3,2,164,-4.5228
1967,5,3,3,162,-3.7258
1967,5,3,4,149,-3.8987
1967,5,3,5,95,-2.6442
1967,6,1,1,82,13.1339
1967,6,1,2,62,11.3972
1967,6,1,3,109,7.6272
1967,6,1,4,159,8.3970
1967,6,1,5,246,8.7583
1967,6,2,1,51,5.4696
1967,6,2,2,57,4.8635
1967,6,2,3,85,5.7165
1967,6,2,4,95,6.8505
1967,6,2,5,121,8.6609
1967,6,3,1,166,0.7865
1967,6,3,2,177,0.1467
1967,6,3,3,176,1.2666
1967,6,3,4,161,2.5868
1967,6,3,5,99,2.3058
1967,7,1,1,88,9.2747
1967,7,1,2,70,7.0520
1967,7,1,3,108,10.3250
1967,7,1,4,155,10.0124
1967,7,1,5,220,11.1290
1967,7,2,1,53,4.3136
1967,7,2,2,59,5.4064
1967,7,2,3,81,7.7479
1967,7,2,4,87,7.7643
1967,7,2,5,114,9.6190
1967,7,3,1,156,3.7841
1967,7,3,2,165,4.4269
1967,7,3,3,172,7.4214
1967,7,3,4,151,5.8185
1967,7,3,5,89,6.2338
1967,8,1,1,95,-0.6789
1967,8,1,2,81,1.7990
1967,8,1,3,111,-0.4864
1967,8,1,4,161,-0.9711
1967,8,1,5,225,0.4377
1967,8,2,1,57,-2.3041
1967,8,2,2,64,0.0365
1967,8,2,3,84,0.8463
1967,8,2,4,94,0.6935
1967,8,2,5,121,0.8500
1967,8,3,1,166,-1.0515
1967,8,3,2,180,-0.5369
1967,8,3,3,191,-1.4654
1967,8,3,4,173,-0.6185
1967,8,3,5,103,0.5865
1967,9,1,1,95,13.1799
1967,9,1,2,84,7.5062
1967,9,1,3,114,6.2396
1967,9,1,4,155,7.7280
1967,9,1,5,228,5.5830
1967,9,2,1,58,3.5476
1967,9,2,2,67,2.5345
1967,9,2,3,84,2.7260
1967,9,2,4,87,2.7398
1967,9,2,5,120,3.7894
1967,9,3,1,171,2.2661
1967,9,3,2,177,4.3974
1967,9,3,3,189,2.4800
1967,9,3,4,177,2.8133
1967,9,3,5,107,2.8156
1967,10,1,1,96,1.2763
1967,10,1,2,82,-3.6570
1967,10,1,3,111,-3.8153
1967,10,1,4,142,-3.7749
1967,10,1,5,204,-2.0302
1967,10,2,1,56,-2.9195
1967,10,2,2,66,-5.5838
1967,10,2,3,75,-6.0012
1967,10,2,4,81,-1.6391
1967,10,2,5,100,-3.3952
1967,10,3,1,156,-3.4499
1967,10,3,2,169,-3.2408
1967,10,3,3,171,-3.8158
1967,10,3,4,165,-4.3723
1967,10,3,5,103,-5.2173
1967,11,1,1,103,-0.7383
1967,11,1,2,85,0.0793
1967,11,1,3,112,1.5241
1967,11,1,4,134,0.8198
1967,11,1,5,204,0.0423
1967,11,2,1,71,5.5355
1967,11,2,2,66,1.2554
1967,11,2,3,76,2.0590
1967,11,2,4,81,1.2718
1967,11,2,5,110,-0.5495
1967,11,3,1,164,1.1397
1967,11,3,2,173,-0.0531
1967,11,3,3,178,0.1584
1967,11,3,4,175,0.8842
1967,11,3,5,118,-0.2927
1967,12,1,1,102,10.9664
1967,12,1,2,80,10.7013
1967,12,1,3,92,7.8590
1967,12,1,4,118,5.7035
1967,12,1,5,200,7.0569
1967,12,2,1,72,11.2061
1967,12,2,2,63,5.7406
1967,12,2,3,70,3.8912
1967,12,2,4,71,4.2801
1967,12,2,5,104,4.1599
1967,12,3,1,158,1.6895
1967,12,3,2,165,3.4574
1967,12,3,3,174,2.9617
1967,12,3,4,175,3.8844
1967,12,3,5,115,4.1745
1968,1,1,1,71,1.4834
1968,1,1,2,60,5.1109
1968,1,1,3,53,1.9804
1968,1,1,4,60,4.5731
1968,1,1,5,122,5.3148
1968,1,2,1,49,-4.1715
1968,1,2,2,44,-0.5069
1968,1,2,3,42,1.3022
1968,1,2,4,45,1.6203
1968,1,2,5,61,2.4224
1968,1,3,1,101,-8.0961
1968,1,3,2,115,-4.0664
1968,1,3,3,118,-2.4014
1968,1,3,4,115,-2.3224
1968,1,3,5,84,-2.6235
1968,2,1,1,75,-6.4097
1968,2,1,2,62,-6.4977
1968,2,1,3,54,-6.7205
1968,2,1,4,62,-4.2197
1968,2,1,5,124,-3.5795
1968,2,2,1,57,-2.8278
1968,2,2,2,54,-5.8529
1968,2,2,3,46,-3.0532
1968,2,2,4,51,-2.4528
1968,2,2,5,67,-1.7543
1968,2,3,1,116,-3.5785
1968,2,3,2,135,-3.7330
1968,2,3,3,129,-1.9930
1968,2,3,4,127,-2.7758
1968,2,3,5,86,-4.6177
1968,3,1,1,75,-1.1551
1968,3,1,2,63,-1.5632
1968,3,1,3,52,-2.4071
