year,month,rank_ME,rank_CPq_1,nstocks,ret_vw
1967,1,1,1,21,19.5927
1967,1,1,2,9,10.5350
1967,1,1,3,17,12.1674
1967,1,1,4,34,21.1115
1967,1,1,5,71,19.7441
1967,1,2,1,9,8.9891
1967,1,2,2,14,11.3080
1967,1,2,3,21,16.9735
1967,1,2,4,22,17.3819
1967,1,2,5,38,18.4309
1967,1,3,1,77,4.9990
1967,1,3,2,72,4.6857
1967,1,3,3,53,10.0324
1967,1,3,4,52,9.1365
1967,1,3,5,25,16.9085
1967,2,1,1,25,2.5244
1967,2,1,2,10,1.5836
1967,2,1,3,11,2.0328
1967,2,1,4,29,2.5023
1967,2,1,5,52,1.5505
1967,2,2,1,10,3.3437
1967,2,2,2,15,-1.5666
1967,2,2,3,17,1.3943
1967,2,2,4,19,1.9887
1967,2,2,5,33,0.8729
1967,2,3,1,65,2.1127
1967,2,3,2,64,-1.4603
1967,2,3,3,60,-1.6399
1967,2,3,4,49,-0.9596
1967,2,3,5,26,-1.4862
1967,3,1,1,23,12.8994
1967,3,1,2,10,4.1997
1967,3,1,3,12,5.8790
1967,3,1,4,34,6.4902
1967,3,1,5,50,3.3511
1967,3,2,1,13,3.5976
1967,3,2,2,11,4.0992
1967,3,2,3,16,4.4169
1967,3,2,4,21,8.6976
1967,3,2,5,39,8.4751
1967,3,3,1,66,4.7161
1967,3,3,2,65,3.6102
1967,3,3,3,62,4.1626
1967,3,3,4,44,4.7816
1967,3,3,5,28,4.5293
1967,4,1,1,20,4.1679
1967,4,1,2,12,3.5456
1967,4,1,3,11,0.1986
1967,4,1,4,30,5.3822
1967,4,1,5,55,4.2264
1967,4,2,1,15,2.1214
1967,4,2,2,12,6.0801
1967,4,2,3,22,3.1741
1967,4,2,4,16,6.7102
1967,4,2,5,36,4.2863
1967,4,3,1,67,5.5228
1967,4,3,2,64,3.1992
1967,4,3,3,57,1.1128
1967,4,3,4,49,4.6451
1967,4,3,5,28,2.4926
1967,5,1,1,49,2.6679
1967,5,1,2,35,1.1539
1967,5,1,3,57,-0.9513
1967,5,1,4,81,-0.0496
1967,5,1,5,132,-0.2538
1967,5,2,1,31,-0.7154
1967,5,2,2,36,-4.2327
1967,5,2,3,42,-2.5691
1967,5,2,4,44,-2.3440
1967,5,2,5,54,-3.5441
1967,5,3,1,119,-5.0201
1967,5,3,2,100,-4.8347
1967,5,3,3,93,-4.2525
1967,5,3,4,81,-3.0767
1967,5,3,5,51,-2.7281
1967,6,1,1,52,12.3409
1967,6,1,2,34,9.1354
1967,6,1,3,65,8.6093
1967,6,1,4,82,9.5224
1967,6,1,5,123,9.3071
1967,6,2,1,36,8.9690
1967,6,2,2,33,5.3232
1967,6,2,3,40,7.5611
1967,6,2,4,44,6.6608
1967,6,2,5,60,6.3100
1967,6,3,1,118,1.6402
1967,6,3,2,107,0.6115
1967,6,3,3,95,3.3993
1967,6,3,4,78,1.4820
1967,6,3,5,46,3.2562
1967,7,1,1,63,9.1648
1967,7,1,2,36,6.0304
1967,7,1,3,57,11.8323
1967,7,1,4,80,9.5919
1967,7,1,5,116,9.8248
1967,7,2,1,39,3.0162
1967,7,2,2,33,6.1298
1967,7,2,3,38,7.5153
1967,7,2,4,39,8.4171
1967,7,2,5,59,8.5181
1967,7,3,1,117,2.8606
1967,7,3,2,103,3.8054
1967,7,3,3,96,8.8719
1967,7,3,4,82,6.1664
1967,7,3,5,47,6.8001
1967,8,1,1,30,-1.3812
1967,8,1,2,21,0.6517
1967,8,1,3,13,0.9774
1967,8,1,4,20,-0.9358
1967,8,1,5,46,1.5828
1967,8,2,1,15,-0.5031
1967,8,2,2,19,1.0594
1967,8,2,3,11,3.0163
1967,8,2,4,18,1.2648
1967,8,2,5,19,1.7271
1967,8,3,1,65,-1.2917
1967,8,3,2,48,-0.4849
1967,8,3,3,56,-1.8293
1967,8,3,4,51,-0.7781
1967,8,3,5,34,0.8817
1967,9,1,1,29,10.9308
1967,9,1,2,19,8.6234
1967,9,1,3,14,10.9354
1967,9,1,4,18,5.8964
1967,9,1,5,42,5.5155
1967,9,2,1,16,3.6516
1967,9,2,2,19,1.7465
1967,9,2,3,10,2.7663
1967,9,2,4,15,3.0491
1967,9,2,5,20,1.2468
1967,9,3,1,61,1.0341
1967,9,3,2,48,4.7697
1967,9,3,3,55,0.5291
1967,9,3,4,52,3.9780
1967,9,3,5,34,2.7517
1967,10,1,1,33,0.7633
1967,10,1,2,16,-2.1769
1967,10,1,3,14,-4.5491
1967,10,1,4,17,-3.7634
1967,10,1,5,41,-1.9497
1967,10,2,1,19,-1.2907
1967,10,2,2,15,-8.3065
1967,10,2,3,14,-6.4327
1967,10,2,4,17,-2.3223
1967,10,2,5,20,-3.2191
1967,10,3,1,57,-5.0672
1967,10,3,2,51,-5.2688
1967,10,3,3,51,-4.0701
1967,10,3,4,47,-4.1494
1967,10,3,5,39,-5.5739
1967,11,1,1,36,1.0386
1967,11,1,2,15,-0.2186
1967,11,1,3,23,-0.6202
1967,11,1,4,21,-0.6613
1967,11,1,5,55,-0.4566
1967,11,2,1,35,5.9318
1967,11,2,2,18,1.3841
1967,11,2,3,16,0.4130
1967,11,2,4,23,0.8264
1967,11,2,5,25,1.4712
1967,11,3,1,64,-0.0302
1967,11,3,2,58,0.3413
1967,11,3,3,60,0.0933
1967,11,3,4,49,1.7062
1967,11,3,5,48,-0.3807
1967,12,1,1,33,11.7432
1967,12,1,2,23,6.5017
1967,12,1,3,19,11.1987
1967,12,1,4,29,2.7555
1967,12,1,5,50,7.8246
1967,12,2,1,26,9.7889
1967,12,2,2,18,5.6024
1967,12,2,3,18,3.6952
1967,12,2,4,22,4.5230
1967,12,2,5,28,5.2156
1967,12,3,1,73,2.5414
1967,12,3,2,57,2.8626
1967,12,3,3,59,3.0610
1967,12,3,4,50,4.0354
1967,12,3,5,44,4.1483
1968,1,1,1,37,3.2157
1968,1,1,2,24,0.6770
1968,1,1,3,18,1.0983
1968,1,1,4,21,6.2883
1968,1,1,5,59,3.6788
1968,1,2,1,29,-3.6824
1968,1,2,2,14,-1.2348
1968,1,2,3,19,0.7426
1968,1,2,4,25,2.8488
1968,1,2,5,28,2.7158
1968,1,3,1,71,-8.9599
1968,1,3,2,61,-4.2474
1968,1,3,3,59,-3.1734
1968,1,3,4,52,-2.4329
1968,1,3,5,39,-2.3656
1968,2,1,1,35,-5.3841
1968,2,1,2,15,-7.8660
1968,2,1,3,15,-5.4471
1968,2,1,4,18,-6.0238
1968,2,1,5,46,-2.2858
1968,2,2,1,20,-1.0755
1968,2,2,2,20,-7.0731
1968,2,2,3,15,-1.7888
1968,2,2,4,19,-2.3331
1968,2,2,5,27,-2.9217
1968,2,3,1,63,-3.4108
1968,2,3,2,57,-4.1320
1968,2,3,3,57,-1.8682
1968,2,3,4,54,-3.2585
1968,2,3,5,33,-3.8515
1968,3,1,1,31,-2.8471
1968,3,1,2,18,-1.4929
1968,3,1,3,12,-2.7036
