year,month,rank_ME,rank_SP,nstocks,ret_vw
1967,12,2,1,47,11.5584
1967,12,2,2,47,1.7795
1967,12,2,3,68,5.2960
1967,12,2,4,71,6.2940
1967,12,2,5,71,6.8983
1967,12,3,1,165,2.1543
1967,12,3,2,146,2.0487
1967,12,3,3,104,4.7806
1967,12,3,4,78,4.7374
1967,12,3,5,42,3.5429
1968,1,1,1,52,4.2756
1968,1,1,2,47,0.0637
1968,1,1,3,96,1.4732
1968,1,1,4,132,1.4508
1968,1,1,5,284,4.8636
1968,1,2,1,47,-4.3357
1968,1,2,2,47,-0.4291
1968,1,2,3,68,-1.2278
1968,1,2,4,71,-1.3340
1968,1,2,5,71,2.4315
1968,1,3,1,165,-4.3087
1968,1,3,2,146,-3.9360
1968,1,3,3,104,-5.8911
1968,1,3,4,78,-4.3474
1968,1,3,5,42,-3.2071
1968,2,1,1,52,-7.8618
1968,2,1,2,47,-10.0016
1968,2,1,3,96,-7.7121
1968,2,1,4,132,-6.5386
1968,2,1,5,283,-5.8044
1968,2,2,1,47,-4.5320
1968,2,2,2,47,-3.5575
1968,2,2,3,67,-5.7344
1968,2,2,4,70,-3.8580
1968,2,2,5,71,-5.4804
1968,2,3,1,165,-2.9882
1968,2,3,2,145,-2.4544
1968,2,3,3,104,-4.2074
1968,2,3,4,78,-4.2018
1968,2,3,5,42,-2.1391
1968,3,1,1,52,-0.5716
1968,3,1,2,47,-2.8348
1968,3,1,3,96,-1.5516
1968,3,1,4,133,-0.8435
1968,3,1,5,283,-0.2257
1968,3,2,1,47,-2.4135
1968,3,2,2,47,-1.3812
1968,3,2,3,67,-2.3427
1968,3,2,4,70,-1.7211
1968,3,2,5,71,0.8473
1968,3,3,1,165,1.0369
1968,3,3,2,145,0.7095
1968,3,3,3,104,0.7416
1968,3,3,4,78,-0.9148
1968,3,3,5,42,1.5261
1968,4,1,1,52,13.7593
1968,4,1,2,47,19.7025
1968,4,1,3,96,20.3990
1968,4,1,4,133,16.2526
1968,4,1,5,282,17.7726
1968,4,2,1,47,14.0339
1968,4,2,2,47,12.0117
1968,4,2,3,67,14.7862
1968,4,2,4,70,13.9750
1968,4,2,5,71,11.8062
1968,4,3,1,165,7.5803
1968,4,3,2,145,7.8509
1968,4,3,3,104,11.8411
1968,4,3,4,78,10.9510
1968,4,3,5,42,13.3665
1968,5,1,1,52,11.1035
1968,5,1,2,47,9.7276
1968,5,1,3,96,9.7102
1968,5,1,4,133,10.9057
1968,5,1,5,281,12.9806
1968,5,2,1,47,9.3487
1968,5,2,2,47,7.3460
1968,5,2,3,66,6.9779
1968,5,2,4,70,6.3733
1968,5,2,5,71,8.5690
1968,5,3,1,164,2.3584
1968,5,3,2,145,0.0258
1968,5,3,3,104,2.4820
1968,5,3,4,78,3.8139
1968,5,3,5,42,1.9742
1968,6,1,1,52,4.5289
1968,6,1,2,47,0.6886
1968,6,1,3,96,0.4568
1968,6,1,4,133,-1.0019
1968,6,1,5,281,0.7704
1968,6,2,1,47,-1.9623
1968,6,2,2,47,0.8348
1968,6,2,3,66,1.8710
1968,6,2,4,70,0.4222
1968,6,2,5,71,-0.8852
1968,6,3,1,164,1.4428
1968,6,3,2,145,1.1139
1968,6,3,3,104,0.7391
1968,6,3,4,78,0.1626
1968,6,3,5,42,-2.2769
1968,7,1,1,91,-4.8826
1968,7,1,2,91,-4.3078
1968,7,1,3,108,-4.5624
1968,7,1,4,128,-1.9275
1968,7,1,5,247,-2.7593
1968,7,2,1,63,-6.0645
1968,7,2,2,72,-4.4823
1968,7,2,3,68,-3.4289
1968,7,2,4,63,-1.2965
1968,7,2,5,72,-3.3117
1968,7,3,1,167,-2.9917
1968,7,3,2,116,-2.1026
1968,7,3,3,107,-0.0589
1968,7,3,4,93,-2.2297
1968,7,3,5,48,-2.4375
1968,8,1,1,90,5.7136
1968,8,1,2,91,2.3320
1968,8,1,3,108,3.4805
1968,8,1,4,128,4.1899
1968,8,1,5,247,5.7487
1968,8,2,1,63,1.0224
1968,8,2,2,72,2.0742
1968,8,2,3,67,4.9366
1968,8,2,4,63,4.7052
1968,8,2,5,72,5.6665
1968,8,3,1,167,0.7552
1968,8,3,2,116,2.2712
1968,8,3,3,107,1.2370
