year,month,rank_ME,rank_EBP,nstocks,ret_vw
1967,12,2,1,34,10.6907
1967,12,2,2,42,6.2520
1967,12,2,3,38,4.0915
1967,12,2,4,50,8.9767
1967,12,2,5,50,5.2481
1967,12,3,1,115,1.5146
1967,12,3,2,100,3.1071
1967,12,3,3,87,2.9501
1967,12,3,4,54,7.4799
1967,12,3,5,35,3.4862
1968,1,1,1,47,-0.7059
1968,1,1,2,54,5.3654
1968,1,1,3,59,2.7585
1968,1,1,4,106,1.1300
1968,1,1,5,131,4.4735
1968,1,2,1,34,-5.5633
1968,1,2,2,42,-1.5769
1968,1,2,3,38,-1.8287
1968,1,2,4,50,3.0589
1968,1,2,5,50,1.2329
1968,1,3,1,115,-7.2708
1968,1,3,2,100,-6.4983
1968,1,3,3,87,-0.8370
1968,1,3,4,54,-3.6628
1968,1,3,5,35,-2.4144
1968,2,1,1,47,-9.6992
1968,2,1,2,54,-9.0420
1968,2,1,3,59,-7.3684
1968,2,1,4,106,-6.4249
1968,2,1,5,131,-5.2389
1968,2,2,1,34,-6.5517
1968,2,2,2,42,-5.1214
1968,2,2,3,38,-3.9830
1968,2,2,4,49,-4.7511
1968,2,2,5,50,-3.2565
1968,2,3,1,114,-2.9479
1968,2,3,2,100,-4.2383
1968,2,3,3,87,-2.2208
1968,2,3,4,54,-5.3477
1968,2,3,5,35,-3.1711
1968,3,1,1,47,-2.4420
1968,3,1,2,54,-3.4586
1968,3,1,3,59,-0.5384
1968,3,1,4,106,0.0007
1968,3,1,5,132,-1.2278
1968,3,2,1,34,-0.7932
1968,3,2,2,42,-1.9491
1968,3,2,3,38,-1.9796
1968,3,2,4,49,-0.6204
1968,3,2,5,50,-1.0879
1968,3,3,1,114,2.9651
1968,3,3,2,100,0.3688
1968,3,3,3,87,-0.3395
1968,3,3,4,54,-1.8397
1968,3,3,5,35,0.9507
1968,4,1,1,47,18.4080
1968,4,1,2,54,22.0155
1968,4,1,3,59,17.5823
1968,4,1,4,106,18.2200
1968,4,1,5,132,16.6007
1968,4,2,1,34,16.4674
1968,4,2,2,42,15.5692
1968,4,2,3,38,14.2228
1968,4,2,4,49,13.6005
1968,4,2,5,50,11.5703
1968,4,3,1,114,11.2650
1968,4,3,2,100,10.1285
1968,4,3,3,87,4.1800
1968,4,3,4,54,10.7653
1968,4,3,5,35,12.1338
1968,5,1,1,47,11.4863
1968,5,1,2,54,11.3545
1968,5,1,3,59,12.0324
1968,5,1,4,106,11.3663
1968,5,1,5,132,9.9899
1968,5,2,1,34,9.1665
1968,5,2,2,42,8.7148
1968,5,2,3,38,8.0613
1968,5,2,4,48,6.0172
1968,5,2,5,50,6.6786
1968,5,3,1,114,2.8590
1968,5,3,2,100,2.2623
1968,5,3,3,87,-0.4489
1968,5,3,4,54,1.7077
1968,5,3,5,35,3.4103
1968,6,1,1,47,-1.2101
1968,6,1,2,54,0.0480
1968,6,1,3,59,1.5116
1968,6,1,4,106,3.2780
1968,6,1,5,132,0.5632
1968,6,2,1,34,-2.9268
1968,6,2,2,42,0.5020
1968,6,2,3,38,0.8767
1968,6,2,4,48,1.3537
1968,6,2,5,50,0.4599
1968,6,3,1,114,-0.9802
1968,6,3,2,100,0.8585
1968,6,3,3,87,2.8991
1968,6,3,4,54,1.6847
1968,6,3,5,35,-1.9137
1968,7,1,1,119,-4.8285
1968,7,1,2,91,-5.3737
1968,7,1,3,103,-4.1031
1968,7,1,4,78,-2.4627
1968,7,1,5,128,-1.0311
1968,7,2,1,69,-6.4103
1968,7,2,2,63,-4.9126
1968,7,2,3,37,-5.1855
1968,7,2,4,45,-1.3545
1968,7,2,5,52,0.1708
1968,7,3,1,121,-5.0826
1968,7,3,2,91,-3.7353
1968,7,3,3,90,1.1601
1968,7,3,4,86,0.1706
1968,7,3,5,44,2.3795
1968,8,1,1,119,3.8210
1968,8,1,2,91,4.8938
1968,8,1,3,103,5.5746
1968,8,1,4,78,4.2502
1968,8,1,5,128,4.6961
1968,8,2,1,69,2.8521
1968,8,2,2,63,4.4741
1968,8,2,3,37,1.6557
1968,8,2,4,45,5.5197
1968,8,2,5,52,7.0154
1968,8,3,1,121,1.0162
1968,8,3,2,91,0.9050
1968,8,3,3,89,2.4746
1968,8,3,4,86,2.0301
1968,8,3,5,44,2.5171
1968,9,1,1,119,6.4909
1968,9,1,2,91,7.8256
1968,9,1,3,103,8.6616
1968,9,1,4,78,6.7275
1968,9,1,5,128,7.0975
1968,9,2,1,69,8.3696
1968,9,2,2,63,6.6925
1968,9,2,3,36,9.2516
1968,9,2,4,45,6.5946
1968,9,2,5,52,6.0091
1968,9,3,1,121,2.1236
1968,9,3,2,91,6.0964
1968,9,3,3,89,3.3286
1968,9,3,4,86,5.2225
1968,9,3,5,44,9.4701
1968,10,1,1,119,-0.8861
1968,10,1,2,91,-0.6302
1968,10,1,3,103,-0.6674
1968,10,1,4,78,0.5378
1968,10,1,5,128,2.7539
1968,10,2,1,69,-1.4620
1968,10,2,2,63,2.8119
1968,10,2,3,36,1.8328
1968,10,2,4,45,1.7769
1968,10,2,5,52,0.6374
1968,10,3,1,121,-1.8658
1968,10,3,2,91,1.7394
1968,10,3,3,89,2.6441
1968,10,3,4,86,2.6296
1968,10,3,5,44,1.4867
1968,11,1,1,119,8.3068
1968,11,1,2,91,7.4776
1968,11,1,3,103,6.9688
1968,11,1,4,78,6.1780
1968,11,1,5,128,7.2310
1968,11,2,1,69,9.7962
1968,11,2,2,63,6.6842
1968,11,2,3,37,10.2899
1968,11,2,4,45,7.0681
1968,11,2,5,52,6.6858
1968,11,3,1,121,7.0678
1968,11,3,2,91,2.3061
1968,11,3,3,89,5.0958
1968,11,3,4,86,5.8237
1968,11,3,5,44,4.9580
1968,12,1,1,119,4.5738
1968,12,1,2,91,2.0567
1968,12,1,3,103,1.6766
1968,12,1,4,78,1.3716
1968,12,1,5,128,0.5754
