year,month,rank_ME,rank_SPq_1,nstocks,ret_vw
1967,1,1,1,38,17.2112
1967,1,1,2,45,20.6370
1967,1,1,3,73,20.8546
1967,1,1,4,101,19.0916
1967,1,1,5,234,21.2457
1967,1,2,1,27,7.5389
1967,1,2,2,40,16.6567
1967,1,2,3,56,18.6994
1967,1,2,4,56,18.4293
1967,1,2,5,66,17.4573
1967,1,3,1,154,5.5994
1967,1,3,2,127,7.8607
1967,1,3,3,90,9.2939
1967,1,3,4,78,11.8365
1967,1,3,5,42,15.5535
1967,2,1,1,40,5.1183
1967,2,1,2,52,5.9436
1967,2,1,3,74,5.4267
1967,2,1,4,115,3.1900
1967,2,1,5,200,5.1913
1967,2,2,1,32,2.0294
1967,2,2,2,35,2.5607
1967,2,2,3,61,2.3989
1967,2,2,4,61,0.8867
1967,2,2,5,65,2.0625
1967,2,3,1,149,2.1616
1967,2,3,2,134,-1.0365
1967,2,3,3,87,1.1117
1967,2,3,4,74,0.8130
1967,2,3,5,42,1.6703
1967,3,1,1,44,12.2617
1967,3,1,2,57,6.4657
1967,3,1,3,81,8.3153
1967,3,1,4,125,8.1780
1967,3,1,5,197,4.3173
1967,3,2,1,33,5.0553
1967,3,2,2,42,4.2361
1967,3,2,3,53,7.3440
1967,3,2,4,64,8.3944
1967,3,2,5,64,5.9205
1967,3,3,1,150,3.8382
1967,3,3,2,125,4.6513
1967,3,3,3,95,5.0326
1967,3,3,4,72,5.1519
1967,3,3,5,45,6.6378
1967,4,1,1,40,5.2722
1967,4,1,2,62,4.6131
1967,4,1,3,76,5.0294
1967,4,1,4,132,3.2661
1967,4,1,5,204,5.7222
1967,4,2,1,36,5.2036
1967,4,2,2,46,3.0627
1967,4,2,3,55,5.8146
1967,4,2,4,62,4.9677
1967,4,2,5,60,2.6479
1967,4,3,1,151,3.3812
1967,4,3,2,125,5.1335
1967,4,3,3,94,4.5803
1967,4,3,4,72,3.8414
1967,4,3,5,46,3.8363
1967,5,1,1,54,1.9521
1967,5,1,2,59,0.0448
1967,5,1,3,77,1.1453
1967,5,1,4,131,-1.2377
1967,5,1,5,231,0.6713
1967,5,2,1,39,-1.8231
1967,5,2,2,52,-3.2809
1967,5,2,3,66,-1.3044
1967,5,2,4,58,-3.6908
1967,5,2,5,62,-0.2440
1967,5,3,1,160,-5.0924
1967,5,3,2,127,-5.0611
1967,5,3,3,96,-3.4721
1967,5,3,4,78,-1.5594
1967,5,3,5,59,-2.4731
1967,6,1,1,50,12.5639
1967,6,1,2,65,9.6615
1967,6,1,3,73,12.2749
1967,6,1,4,138,8.9511
1967,6,1,5,212,10.6067
1967,6,2,1,39,8.9296
1967,6,2,2,62,6.4458
1967,6,2,3,57,9.6449
1967,6,2,4,61,5.6403
1967,6,2,5,64,7.1791
1967,6,3,1,162,1.6650
1967,6,3,2,119,1.3258
1967,6,3,3,106,1.9532
1967,6,3,4,76,3.6325
1967,6,3,5,56,4.9873
1967,7,1,1,49,10.7857
1967,7,1,2,73,8.9152
1967,7,1,3,82,10.3098
1967,7,1,4,127,9.3358
1967,7,1,5,200,10.0931
1967,7,2,1,47,3.5949
1967,7,2,2,59,7.2876
1967,7,2,3,55,8.2287
1967,7,2,4,58,8.1076
1967,7,2,5,60,9.7140
1967,7,3,1,156,0.6840
1967,7,3,2,120,5.3656
1967,7,3,3,107,8.0716
1967,7,3,4,79,6.6855
1967,7,3,5,59,7.2686
1967,8,1,1,58,-2.2124
1967,8,1,2,56,-0.9741
1967,8,1,3,89,1.6179
1967,8,1,4,112,0.3948
1967,8,1,5,179,0.8988
1967,8,2,1,48,-1.3097
1967,8,2,2,54,-0.1562
1967,8,2,3,56,2.0971
1967,8,2,4,49,-0.6239
1967,8,2,5,55,0.3775
1967,8,3,1,141,-1.0042
1967,8,3,2,111,-0.9778
1967,8,3,3,89,-0.6255
1967,8,3,4,85,0.0616
1967,8,3,5,49,0.0585
1967,9,1,1,57,13.4025
1967,9,1,2,64,9.3524
1967,9,1,3,80,8.2143
1967,9,1,4,110,7.4568
1967,9,1,5,190,6.2035
1967,9,2,1,45,6.1941
1967,9,2,2,53,3.9921
1967,9,2,3,54,4.3664
1967,9,2,4,57,5.1678
1967,9,2,5,56,3.7540
1967,9,3,1,142,4.0645
1967,9,3,2,109,2.2786
1967,9,3,3,99,3.5410
1967,9,3,4,76,3.6144
1967,9,3,5,49,3.2547
1967,10,1,1,64,0.1227
1967,10,1,2,59,-0.6610
1967,10,1,3,84,-2.2806
1967,10,1,4,105,-3.5388
1967,10,1,5,195,-1.6745
1967,10,2,1,50,-3.3572
1967,10,2,2,53,-2.4400
1967,10,2,3,53,-3.8212
1967,10,2,4,52,-6.1300
1967,10,2,5,59,-4.2700
1967,10,3,1,135,-0.8203
1967,10,3,2,112,-4.1426
1967,10,3,3,94,-3.7325
1967,10,3,4,83,-4.9081
1967,10,3,5,47,-3.7982
1967,11,1,1,64,0.4435
1967,11,1,2,79,-0.3861
1967,11,1,3,82,-0.2467
1967,11,1,4,124,2.1361
1967,11,1,5,202,-0.3114
1967,11,2,1,51,1.5570
1967,11,2,2,61,0.4379
1967,11,2,3,58,0.1532
1967,11,2,4,63,0.9436
1967,11,2,5,64,0.1642
1967,11,3,1,152,2.1037
1967,11,3,2,112,-0.6433
1967,11,3,3,106,-0.0318
1967,11,3,4,87,0.2964
1967,11,3,5,55,0.9593
1967,12,1,1,58,11.3863
1967,12,1,2,71,10.7934
1967,12,1,3,90,9.2611
1967,12,1,4,122,11.3811
1967,12,1,5,208,8.6363
1967,12,2,1,52,6.9178
1967,12,2,2,58,5.0206
1967,12,2,3,58,7.4661
1967,12,2,4,58,7.1619
1967,12,2,5,69,6.8151
1967,12,3,1,155,2.5635
1967,12,3,2,117,1.1034
1967,12,3,3,103,3.1936
1967,12,3,4,89,5.3849
1967,12,3,5,50,3.5940
1968,1,1,1,67,3.7486
1968,1,1,2,63,-0.1251
1968,1,1,3,101,1.7134
1968,1,1,4,110,4.4761
1968,1,1,5,206,4.5910
1968,1,2,1,59,-2.9769
1968,1,2,2,66,-2.5257
1968,1,2,3,56,-0.2096
1968,1,2,4,56,1.2125
1968,1,2,5,63,1.7226
1968,1,3,1,153,-4.9500
1968,1,3,2,113,-5.9705
1968,1,3,3,105,-3.4163
1968,1,3,4,92,-2.8219
1968,1,3,5,50,-3.7934
1968,2,1,1,64,-9.1261
1968,2,1,2,79,-7.6375
1968,2,1,3,94,-7.2788
1968,2,1,4,105,-5.5386
1968,2,1,5,182,-4.2480
1968,2,2,1,64,-5.2398
1968,2,2,2,64,-6.5032
1968,2,2,3,57,-6.3097
1968,2,2,4,58,-4.7224
1968,2,2,5,66,-3.8051
1968,2,3,1,149,-3.1263
1968,2,3,2,111,-2.8458
1968,2,3,3,105,-3.2029
1968,2,3,4,85,-3.3984
1968,2,3,5,49,-2.9000
1968,3,1,1,58,-2.0849
1968,3,1,2,89,-3.1199
1968,3,1,3,92,-0.9424
1968,3,1,4,107,-1.4052
1968,3,1,5,199,-0.2666
1968,3,2,1,58,-0.3233
1968,3,2,2,57,-2.8904
1968,3,2,3,66,-0.4461
1968,3,2,4,58,-1.8625
1968,3,2,5,64,-0.3056
1968,3,3,1,150,0.9284
1968,3,3,2,115,1.2119
1968,3,3,3,98,-0.0472
1968,3,3,4,83,-1.0154
1968,3,3,5,54,0.8828
1968,4,1,1,60,16.4016
1968,4,1,2,77,15.5156
1968,4,1,3,106,18.6458
1968,4,1,4,112,15.3354
1968,4,1,5,201,16.6052
1968,4,2,1,62,14.7916
1968,4,2,2,58,14.8152
1968,4,2,3,61,15.6184
1968,4,2,4,53,14.9536
1968,4,2,5,69,11.3747
1968,4,3,1,149,7.5032
1968,4,3,2,113,9.6740
1968,4,3,3,97,9.0420
1968,4,3,4,91,10.2861
1968,4,3,5,47,12.2611
1968,5,1,1,78,13.6221
1968,5,1,2,75,12.2967
1968,5,1,3,114,12.2140
1968,5,1,4,121,10.1870
1968,5,1,5,208,10.1618
1968,5,2,1,64,9.3946
1968,5,2,2,72,6.3902
1968,5,2,3,61,6.3230
1968,5,2,4,54,5.4216
1968,5,2,5,66,7.6635
1968,5,3,1,155,2.3941
1968,5,3,2,112,1.5735
1968,5,3,3,104,-0.3482
1968,5,3,4,92,2.7783
1968,5,3,5,56,3.2929
1968,6,1,1,88,-0.1368
1968,6,1,2,83,-0.5939
1968,6,1,3,120,1.0380
1968,6,1,4,108,-0.0695
1968,6,1,5,195,3.6327
1968,6,2,1,69,0.9732
1968,6,2,2,68,0.2547
1968,6,2,3,64,1.2158
1968,6,2,4,56,0.5321
1968,6,2,5,63,-0.3637
1968,6,3,1,152,0.9807
1968,6,3,2,113,0.9480
1968,6,3,3,99,1.1959
1968,6,3,4,90,1.7757
1968,6,3,5,61,-1.8029
1968,7,1,1,83,-4.2063
1968,7,1,2,88,-3.5071
1968,7,1,3,107,-3.1000
1968,7,1,4,123,-2.6280
1968,7,1,5,188,-3.3426
1968,7,2,1,68,-5.3243
1968,7,2,2,69,-3.7004
1968,7,2,3,67,-4.0581
1968,7,2,4,56,-1.9633
1968,7,2,5,65,-3.3987
1968,7,3,1,157,-3.0759
1968,7,3,2,109,-3.1880
1968,7,3,3,103,0.4104
1968,7,3,4,82,-0.7119
1968,7,3,5,62,-3.6108
1968,8,1,1,81,3.6196
1968,8,1,2,96,1.9735
1968,8,1,3,105,4.0715
1968,8,1,4,119,4.9138
1968,8,1,5,170,5.6848
1968,8,2,1,60,2.8472
1968,8,2,2,58,3.3231
1968,8,2,3,65,2.4606
1968,8,2,4,62,3.2658
1968,8,2,5,53,3.7828
1968,8,3,1,150,0.7984
1968,8,3,2,109,2.3873
1968,8,3,3,103,1.4726
1968,8,3,4,77,1.7565
1968,8,3,5,58,0.5589
1968,9,1,1,76,9.4227
1968,9,1,2,109,6.1489
1968,9,1,3,97,5.6620
1968,9,1,4,141,6.6758
1968,9,1,5,159,7.4854
1968,9,2,1,72,7.1313
1968,9,2,2,55,5.3452
1968,9,2,3,65,5.7806
1968,9,2,4,60,8.1133
1968,9,2,5,55,8.9240
1968,9,3,1,146,2.2011
1968,9,3,2,113,4.5673
1968,9,3,3,100,4.6923
1968,9,3,4,77,7.1812
1968,9,3,5,59,7.9641
1968,10,1,1,76,-4.1639
1968,10,1,2,100,-1.6214
1968,10,1,3,114,-0.0599
1968,10,1,4,126,1.0039
1968,10,1,5,165,1.3547
1968,10,2,1,76,-0.1993
1968,10,2,2,50,1.2198
1968,10,2,3,70,2.7069
1968,10,2,4,57,0.8740
1968,10,2,5,56,2.6890
1968,10,3,1,145,-1.1423
1968,10,3,2,118,0.9656
1968,10,3,3,97,2.6480
1968,10,3,4,83,2.1757
1968,10,3,5,55,1.9357
1968,11,1,1,85,9.9851
1968,11,1,2,101,4.6766
1968,11,1,3,133,6.1952
1968,11,1,4,149,7.8463
1968,11,1,5,170,7.4936
1968,11,2,1,80,9.1856
1968,11,2,2,70,8.7791
1968,11,2,3,59,7.5158
1968,11,2,4,63,8.7867
1968,11,2,5,66,7.1618
1968,11,3,1,153,6.8402
1968,11,3,2,110,5.3473
1968,11,3,3,110,4.4587
1968,11,3,4,84,5.3243
1968,11,3,5,66,4.1676
1968,12,1,1,80,6.0181
1968,12,1,2,108,2.1137
