year,month,rank_ME,rank_EMq_1,nstocks,ret_vw
1976,12,1,5,110,8.9581
1976,12,2,1,57,10.3904
1976,12,2,2,64,9.6904
1976,12,2,3,52,7.4289
1976,12,2,4,45,8.1007
1976,12,2,5,43,7.0205
1976,12,3,1,54,7.5713
1976,12,3,2,52,5.6704
1976,12,3,3,78,8.2525
1976,12,3,4,78,6.4561
1976,12,3,5,76,3.4156
1977,1,1,1,209,5.5225
1977,1,1,2,100,3.1153
1977,1,1,3,80,4.2459
1977,1,1,4,69,6.3439
1977,1,1,5,104,2.2235
1977,1,2,1,61,-1.2283
1977,1,2,2,64,1.2837
1977,1,2,3,41,1.1070
1977,1,2,4,52,3.0995
1977,1,2,5,43,3.5589
1977,1,3,1,54,-0.8159
1977,1,3,2,58,-3.4898
1977,1,3,3,75,-1.5137
1977,1,3,4,76,-5.0561
1977,1,3,5,77,-8.8396
1977,2,1,1,191,0.3805
1977,2,1,2,109,-1.8551
1977,2,1,3,80,-1.8739
1977,2,1,4,55,-1.9198
1977,2,1,5,126,-1.2888
1977,2,2,1,57,0.2859
1977,2,2,2,60,-1.2796
1977,2,2,3,48,-1.6264
1977,2,2,4,49,-2.7189
1977,2,2,5,42,-1.2164
1977,2,3,1,49,-2.5947
1977,2,3,2,62,-2.5849
1977,2,3,3,74,-1.7275
1977,2,3,4,81,-2.6807
1977,2,3,5,71,-0.6727
1977,3,1,1,190,1.6569
1977,3,1,2,107,1.1231
1977,3,1,3,95,2.1690
1977,3,1,4,65,-0.4735
1977,3,1,5,119,0.9975
1977,3,2,1,59,1.3938
1977,3,2,2,59,-1.1612
1977,3,2,3,50,0.2670
1977,3,2,4,42,1.2274
1977,3,2,5,46,-1.0574
1977,3,3,1,49,-1.4643
1977,3,3,2,55,-1.4432
1977,3,3,3,72,-1.8835
1977,3,3,4,86,-0.6646
1977,3,3,5,76,-1.9093
1977,4,1,1,199,1.2448
1977,4,1,2,103,1.8794
1977,4,1,3,96,2.2368
1977,4,1,4,59,0.3557
1977,4,1,5,122,-0.6949
1977,4,2,1,57,2.7488
1977,4,2,2,64,2.5667
1977,4,2,3,44,1.5497
1977,4,2,4,45,2.6973
1977,4,2,5,44,0.2990
1977,4,3,1,56,2.0943
1977,4,3,2,52,2.9685
1977,4,3,3,76,1.9287
1977,4,3,4,82,-0.2267
1977,4,3,5,77,-1.8642
1977,5,1,1,189,0.1322
1977,5,1,2,122,0.9066
1977,5,1,3,98,-0.0102
1977,5,1,4,81,-1.4551
1977,5,1,5,136,0.2160
1977,5,2,1,63,1.6939
1977,5,2,2,61,0.9408
1977,5,2,3,56,0.6003
1977,5,2,4,52,-0.1684
1977,5,2,5,62,-1.0271
1977,5,3,1,71,-0.5114
1977,5,3,2,79,-0.2712
1977,5,3,3,95,-0.3342
1977,5,3,4,93,-3.6907
1977,5,3,5,81,-4.6970
1977,6,1,1,191,8.5320
1977,6,1,2,120,10.3276
1977,6,1,3,90,9.1965
1977,6,1,4,80,5.7543
1977,6,1,5,147,6.7222
1977,6,2,1,61,7.2696
1977,6,2,2,56,6.4587
1977,6,2,3,61,7.4098
1977,6,2,4,49,7.5088
1977,6,2,5,62,7.5126
1977,6,3,1,71,5.3853
1977,6,3,2,80,5.4897
1977,6,3,3,99,4.1516
1977,6,3,4,95,2.9200
1977,6,3,5,77,4.2061
1977,7,1,1,182,0.1708
1977,7,1,2,119,0.1800
1977,7,1,3,85,-0.8631
1977,7,1,4,83,-1.7295
1977,7,1,5,148,1.1736
1977,7,2,1,63,-1.2934
1977,7,2,2,56,-0.9669
1977,7,2,3,58,-0.9937
1977,7,2,4,57,-0.2559
1977,7,2,5,62,-3.3273
1977,7,3,1,71,-0.9867
1977,7,3,2,81,-1.6594
1977,7,3,3,98,-2.7027
1977,7,3,4,92,-3.5346
