year,month,rank_ME,rank_BMJ,nstocks,ret_vw
1967,12,2,1,61,12.3074
1967,12,2,2,61,5.2557
1967,12,2,3,42,5.2613
1967,12,2,4,53,4.3756
1967,12,2,5,59,5.7300
1967,12,3,1,146,1.7293
1967,12,3,2,113,3.0530
1967,12,3,3,112,3.9476
1967,12,3,4,94,2.8467
1967,12,3,5,52,3.1530
1968,1,1,1,115,0.0207
1968,1,1,2,93,5.2836
1968,1,1,3,97,1.8561
1968,1,1,4,87,2.5317
1968,1,1,5,174,4.7504
1968,1,2,1,61,-5.0921
1968,1,2,2,61,-1.7269
1968,1,2,3,42,-1.3066
1968,1,2,4,53,2.6998
1968,1,2,5,59,3.7441
1968,1,3,1,146,-7.8800
1968,1,3,2,113,-3.8340
1968,1,3,3,112,-3.5397
1968,1,3,4,94,-0.3597
1968,1,3,5,52,0.0387
1968,2,1,1,115,-10.1643
1968,2,1,2,93,-7.3366
1968,2,1,3,97,-6.8058
1968,2,1,4,87,-4.9483
1968,2,1,5,174,-4.5423
1968,2,2,1,61,-8.2175
1968,2,2,2,61,-7.4258
1968,2,2,3,42,-2.5323
1968,2,2,4,51,-1.0854
1968,2,2,5,59,-2.2066
1968,2,3,1,145,-3.1332
1968,2,3,2,113,-4.2886
1968,2,3,3,112,-1.6632
1968,2,3,4,94,-2.1883
1968,2,3,5,52,-3.2423
1968,3,1,1,115,-0.7049
1968,3,1,2,93,-0.9002
1968,3,1,3,98,-0.7713
1968,3,1,4,87,-2.4685
1968,3,1,5,174,-0.4963
1968,3,2,1,61,-0.2444
1968,3,2,2,61,-0.8494
1968,3,2,3,42,-2.6461
1968,3,2,4,51,-2.1304
1968,3,2,5,59,-0.5932
1968,3,3,1,145,3.4296
1968,3,3,2,113,-0.6248
1968,3,3,3,112,-1.8353
1968,3,3,4,94,-0.4542
1968,3,3,5,52,-0.7185
1968,4,1,1,115,21.1800
1968,4,1,2,93,20.4148
1968,4,1,3,98,15.1605
1968,4,1,4,87,15.2500
1968,4,1,5,174,15.8502
1968,4,2,1,61,18.1536
1968,4,2,2,61,14.9766
1968,4,2,3,42,12.1463
1968,4,2,4,51,8.2237
1968,4,2,5,59,11.3026
1968,4,3,1,145,11.9065
1968,4,3,2,113,8.5306
1968,4,3,3,112,6.7216
1968,4,3,4,94,3.7989
1968,4,3,5,52,9.7179
1968,5,1,1,115,11.4564
1968,5,1,2,93,11.7873
1968,5,1,3,98,13.6749
1968,5,1,4,87,10.1917
1968,5,1,5,173,9.2825
1968,5,2,1,61,11.6032
1968,5,2,2,61,9.0825
1968,5,2,3,42,6.7740
1968,5,2,4,50,5.0699
1968,5,2,5,59,4.6549
1968,5,3,1,145,3.1369
1968,5,3,2,113,1.6526
1968,5,3,3,112,0.6781
1968,5,3,4,94,-0.8488
1968,5,3,5,52,2.4010
1968,6,1,1,115,-0.4680
1968,6,1,2,93,-2.3383
1968,6,1,3,98,1.9214
1968,6,1,4,87,1.6702
1968,6,1,5,173,2.4037
1968,6,2,1,61,-2.4692
1968,6,2,2,61,-0.8756
1968,6,2,3,42,0.8147
1968,6,2,4,50,3.6328
1968,6,2,5,59,0.4843
1968,6,3,1,145,-1.0407
1968,6,3,2,113,1.2030
1968,6,3,3,112,4.0938
1968,6,3,4,94,3.4096
1968,6,3,5,52,-0.4474
1968,7,1,1,184,-5.0593
1968,7,1,2,131,-5.3474
1968,7,1,3,112,-3.1017
1968,7,1,4,72,-1.3656
1968,7,1,5,115,-0.5635
1968,7,2,1,89,-6.3163
1968,7,2,2,62,-4.7649
1968,7,2,3,43,-3.4022
1968,7,2,4,58,-0.7084
1968,7,2,5,59,-0.1177
1968,7,3,1,136,-5.7247
1968,7,3,2,111,-2.2552
1968,7,3,3,104,-0.5686
1968,7,3,4,97,1.9409
1968,7,3,5,70,1.0018
1968,8,1,1,183,5.3119
1968,8,1,2,131,4.7231
1968,8,1,3,112,5.2194
1968,8,1,4,72,2.6191
1968,8,1,5,115,4.3720
1968,8,2,1,89,4.0206
1968,8,2,2,61,2.7626
1968,8,2,3,43,3.6493
1968,8,2,4,58,2.5269
1968,8,2,5,59,4.7761
1968,8,3,1,136,1.1320
1968,8,3,2,111,0.8933
1968,8,3,3,103,1.5112
1968,8,3,4,97,1.9644
1968,8,3,5,70,1.7021
1968,9,1,1,183,7.7280
1968,9,1,2,131,7.3695
1968,9,1,3,112,6.7439
1968,9,1,4,72,5.5765
1968,9,1,5,115,7.8423
1968,9,2,1,89,8.5337
1968,9,2,2,61,6.2732
1968,9,2,3,42,4.6624
1968,9,2,4,58,5.8519
1968,9,2,5,59,6.7361
1968,9,3,1,136,2.1616
1968,9,3,2,111,5.3797
1968,9,3,3,103,3.8716
1968,9,3,4,97,3.5670
1968,9,3,5,70,5.7764
1968,10,1,1,182,-1.6666
1968,10,1,2,131,-0.0088
1968,10,1,3,112,3.6348
1968,10,1,4,72,-0.4127
1968,10,1,5,115,2.3711
1968,10,2,1,89,-0.1101
1968,10,2,2,61,0.5120
1968,10,2,3,42,0.8179
1968,10,2,4,58,3.5080
1968,10,2,5,59,0.1066
1968,10,3,1,136,-2.4293
1968,10,3,2,111,2.1391
1968,10,3,3,103,1.8226
1968,10,3,4,97,2.2666
1968,10,3,5,70,2.8749
1968,11,1,1,182,8.6005
1968,11,1,2,131,7.7827
1968,11,1,3,112,7.3167
1968,11,1,4,72,7.5566
1968,11,1,5,115,4.3712
1968,11,2,1,89,8.4816
1968,11,2,2,61,8.8496
1968,11,2,3,43,6.1376
1968,11,2,4,58,10.1021
1968,11,2,5,59,5.8780
1968,11,3,1,136,6.9826
1968,11,3,2,111,3.1492
1968,11,3,3,103,4.8829
1968,11,3,4,97,6.9790
1968,11,3,5,70,5.3404
1968,12,1,1,183,4.2428
1968,12,1,2,131,1.6121
1968,12,1,3,112,1.0053
1968,12,1,4,72,0.7760
1968,12,1,5,115,0.7638
1968,12,2,1,89,-1.6277
1968,12,2,2,61,-0.1617
1968,12,2,3,43,-2.3616
1968,12,2,4,58,-1.6003
1968,12,2,5,59,-0.5624
1968,12,3,1,136,-5.1599
1968,12,3,2,111,-4.3529
1968,12,3,3,103,-2.6339
1968,12,3,4,97,-2.9853
1968,12,3,5,70,-3.6120
1969,1,1,1,183,-1.2698
1969,1,1,2,131,-0.7754
1969,1,1,3,112,-1.5330
1969,1,1,4,72,-2.9212
1969,1,1,5,115,-1.1131
1969,1,2,1,89,-3.1731
1969,1,2,2,61,-1.5080
1969,1,2,3,43,-1.0912
1969,1,2,4,58,0.8403
1969,1,2,5,59,-0.9409
1969,1,3,1,136,-2.3009
1969,1,3,2,111,-0.9560
1969,1,3,3,103,-0.1626
1969,1,3,4,96,-0.2179
1969,1,3,5,70,0.7382
1969,2,1,1,183,-12.1201
1969,2,1,2,131,-9.9323
1969,2,1,3,111,-9.9952
1969,2,1,4,72,-7.1717
1969,2,1,5,115,-8.7490
1969,2,2,1,89,-10.0695
1969,2,2,2,61,-7.5878
1969,2,2,3,43,-7.6900
1969,2,2,4,58,-7.0316
1969,2,2,5,59,-7.1993
1969,2,3,1,136,-3.8898
1969,2,3,2,111,-4.5735
1969,2,3,3,103,-4.8082
1969,2,3,4,96,-5.1090
1969,2,3,5,70,-5.2035
1969,3,1,1,183,3.1853
1969,3,1,2,131,1.9367
1969,3,1,3,111,3.9078
1969,3,1,4,72,0.8632
1969,3,1,5,115,1.5335
1969,3,2,1,88,3.3910
1969,3,2,2,61,2.9442
1969,3,2,3,43,2.0064
1969,3,2,4,58,1.6681
1969,3,2,5,59,4.4693
1969,3,3,1,136,4.2378
1969,3,3,2,111,3.2743
1969,3,3,3,103,2.3249
1969,3,3,4,96,2.8193
1969,3,3,5,70,3.1350
1969,4,1,1,183,0.7020
1969,4,1,2,131,-1.7185
1969,4,1,3,110,1.4755
1969,4,1,4,72,1.0725
1969,4,1,5,114,-2.6592
1969,4,2,1,88,1.7567
1969,4,2,2,61,1.8376
1969,4,2,3,43,-0.1353
1969,4,2,4,57,2.2842
1969,4,2,5,59,1.1578
1969,4,3,1,136,3.9061
1969,4,3,2,109,1.5652
1969,4,3,3,103,0.7694
1969,4,3,4,96,-0.3442
1969,4,3,5,70,3.3479
1969,5,1,1,183,1.3136
1969,5,1,2,131,2.1908
1969,5,1,3,110,0.5958
1969,5,1,4,72,-0.1282
1969,5,1,5,114,0.6629
1969,5,2,1,89,-0.3830
1969,5,2,2,61,1.0793
1969,5,2,3,43,-0.1573
1969,5,2,4,57,0.7885
1969,5,2,5,59,0.6691
1969,5,3,1,136,-0.5578
1969,5,3,2,109,0.6762
1969,5,3,3,103,-0.0265
1969,5,3,4,96,0.7977
1969,5,3,5,69,1.5815
1969,6,1,1,183,-15.7271
1969,6,1,2,131,-13.4420
1969,6,1,3,111,-13.0120
1969,6,1,4,72,-12.6840
