year,month,rank_ME,rank_EP,nstocks,ret_vw
1967,12,2,1,51,13.4335
1967,12,2,2,42,4.8757
1967,12,2,3,57,3.8197
1967,12,2,4,84,5.2347
1967,12,2,5,69,5.5087
1967,12,3,1,159,1.8206
1967,12,3,2,140,2.3136
1967,12,3,3,112,3.6552
1967,12,3,4,69,6.8159
1967,12,3,5,53,2.7854
1968,1,1,1,104,1.3850
1968,1,1,2,63,2.2788
1968,1,1,3,75,4.1551
1968,1,1,4,116,0.6565
1968,1,1,5,205,3.4775
1968,1,2,1,51,-6.8795
1968,1,2,2,42,-0.8471
1968,1,2,3,57,0.2137
1968,1,2,4,84,1.4214
1968,1,2,5,69,0.6311
1968,1,3,1,159,-7.4491
1968,1,3,2,140,-1.5678
1968,1,3,3,112,-2.9091
1968,1,3,4,69,-2.8679
1968,1,3,5,53,-2.1393
1968,2,1,1,104,-9.4014
1968,2,1,2,63,-9.0420
1968,2,1,3,75,-6.4900
1968,2,1,4,116,-6.1974
1968,2,1,5,204,-5.3128
1968,2,2,1,51,-6.5719
1968,2,2,2,42,-6.5747
1968,2,2,3,57,-3.6758
1968,2,2,4,83,-4.0017
1968,2,2,5,68,-4.0256
1968,2,3,1,159,-3.3071
1968,2,3,2,139,-2.6498
1968,2,3,3,112,-2.2919
1968,2,3,4,69,-4.2153
1968,2,3,5,53,-3.7473
1968,3,1,1,104,-0.7157
1968,3,1,2,63,-2.4951
1968,3,1,3,75,-0.9700
1968,3,1,4,116,-0.0837
1968,3,1,5,205,-0.3687
1968,3,2,1,51,-2.8204
1968,3,2,2,42,-0.0710
1968,3,2,3,57,-2.2230
1968,3,2,4,83,-0.4354
1968,3,2,5,68,-1.1012
1968,3,3,1,159,2.8456
1968,3,3,2,139,-1.3194
1968,3,3,3,112,-0.4597
1968,3,3,4,69,0.2376
1968,3,3,5,53,1.4219
1968,4,1,1,104,21.9956
1968,4,1,2,63,14.9568
1968,4,1,3,75,16.7438
1968,4,1,4,116,15.5743
1968,4,1,5,204,17.2323
1968,4,2,1,51,16.9898
1968,4,2,2,42,16.4199
1968,4,2,3,57,11.7310
1968,4,2,4,83,12.4292
1968,4,2,5,68,11.3441
1968,4,3,1,159,11.0476
1968,4,3,2,139,6.0321
1968,4,3,3,112,6.7715
1968,4,3,4,69,8.8626
1968,4,3,5,53,11.3564
1968,5,1,1,104,12.0509
1968,5,1,2,63,7.9366
1968,5,1,3,75,13.7390
1968,5,1,4,116,10.5630
1968,5,1,5,204,11.6713
1968,5,2,1,51,9.6684
1968,5,2,2,42,10.4230
1968,5,2,3,57,4.5232
1968,5,2,4,82,7.1857
1968,5,2,5,68,7.6570
1968,5,3,1,159,2.8810
1968,5,3,2,138,0.5712
1968,5,3,3,112,0.1052
1968,5,3,4,69,2.5354
1968,5,3,5,53,3.1593
1968,6,1,1,104,0.3119
